ｺｰﾄﾞ,,カナ名,〒,,TEL,FAX,取引先締日=締め日,必着日,取引先入金日＝入金日,回収方法,様,相手先担当１＝担当,連絡先１＝担当連絡先
360,大浦建設株式会社                    ,ｵｵｳﾗｹﾝｾﾂ,649-6332,和歌山市宇田森296番地1,073-461-6377   ,073-462-1866   ,31,5,25,2,2,５日までに　,
381,リビングショップ和歌山有限会社      ,ﾘﾋﾞﾝｸﾞｼｮ,640-8033,和歌山県和歌山市本町２丁目１番地_フォルテワジマ２階,073-421-8555   ,073-421-8878   ,31,,0,1,2,　　　　　　,
389,和歌山商工会議所                    ,ﾜｶﾔﾏｼｮｳｺ,640-8567,和歌山市西汀丁36番地,073-422-1111   ,073-433-0543   ,20,,10,1,2,谷口様　　　,
434,株式会社　たけでん _田辺営業所,ﾀｹﾃﾞﾝﾀﾅﾍ,646-0021,和歌山県田辺市あけぼの38-3,0739-22-7143   ,0739-22-4911   ,31,,31,1,2,商品統括部　,
518,和歌山電工株式会社                  ,ﾜﾃﾞﾝｺ   ,640-8033,和歌山市本町9丁目23番地,073-431-1100   ,073-431-1124   ,20,,10,1,2,　　　　　　,
575,タクマティック株式会社              ,ﾀｸﾏﾃｨｯｸ ,581-0063,大阪府八尾沼2丁目１１の１０３,072-948-6332   ,072-948-6333   ,10,,10,1,2,旧タクマ保温,
595,ニッタン株式会社　関西支社          ,ﾆｯﾀﾝｶﾝｻｲ,530-0042,大阪市北区天満橋1-4-9,06-6354-3153   ,06-6354-9437   ,31,,31,1,2,　　　　　　,
618,株式会社殿村機械工具店              ,ﾄﾉﾑﾗｷｶｲ ,640-8327,和歌山県和歌山市橋向丁8,073-423-8356   ,073-426-1355   ,31,,10,,2,　　　　　　,
628,興紀消防メンテナンス                ,ｺｳｷ     ,640-0331,和歌山県和歌山市吉原1284-1,073-479-9097   ,073-499-5597   ,31,,31,1,2,前田さん　　,
652,小川電機株式会社　貝塚営業所        ,ｵｶﾞﾜｶｲﾂﾞ,597-0051,大阪府貝塚市王子1014-1,072-432-0607   ,072-422-3581   ,15,20,15,1,2,　　　　　　,
653,株式会社　たけでん _有田営業所,ｱﾘﾀﾞﾀｹﾃﾞ,649-0311,和歌山県有田市辻堂836-2,               ,               ,31,,0,1,2,　　　　　　,
690,有限会社 石井土木                   ,ｲｼｲﾄﾞﾎﾞｸ,641-0036,和歌山県和歌山市西浜1331,073-444-4367   ,073-448-0143   ,25,,31,1,2,　　　　　　,
693,Ｔａｋｕ　Ｐｌａｎｎｉｎｇ          ,ﾀｸﾏ     ,567-0868,大阪府茨木市沢良宜西2丁目5-5,072-633-0390   ,               ,30,,20,1,2,　　　　　　,
763,株式会社ＭＡＲＵＥＩ                ,ﾏﾙｴｲ    ,640-8305,和歌山市栗栖273-11,0736-63-2272   ,0736-63-2272   ,20,,0,1,2,　　　　　　,
767,奥出電気                            ,ｵｸﾃﾞﾃﾞﾝｷ,649-6222,和歌山県岩出市岡田1008番地8,0736-67-6371   ,0736-67-6372   ,20,,0,1,2,　　　　　　,
863,渡辺パイプ・西日本株式会社 _　和歌山支店,ﾜﾀﾅﾍﾞﾊﾟｲ,640-8314,和歌山市神前19-1,073-476-5395   ,073-472-7586   ,31,,0,1,2,　　　　　　,
872,和歌山電工株式会社 _　伊都営業所,ﾜﾃﾞﾝｺｳｲﾄ,649-7112,和歌山県伊都郡かつらぎ町中飯降1685-1,0736-22-5600   ,0736-78-1810   ,20,,10,1,2,　　　　　　,
881,株式会社赤土建設                    ,ｱｶﾂﾁｹﾝｾﾂ,641-0014,和歌山市毛見102-4,073-445-1234   ,073-445-2292   ,20,,10,,2,半金半手　　,
944,吉川　昌男                          ,ﾖｼｶﾜ    ,640-8462,和歌山県和歌山市粟56-1_タキマンション205,               ,               ,20,,10,1,1,　　　　　　,
990,瀧本電気                            ,ﾀｷﾓﾄﾃﾞﾝｷ,640-8441,和歌山市栄谷881_セジュール栄谷A102,073-414-2333   ,073-414-2333   ,20,,10,1,2,　　　　　　,
993,Ｌｉｎｏｎ                          ,ﾘﾉﾝ     ,640-8361,和歌山市岡円福院東ノ丁5番地_ワールドプラザ南海4階,073-426-0829   ,               ,31,,0,1,2,佐原美香様　,
994,株式会社マルヤマ三紀商会            ,ﾏﾙﾔﾏｻﾝｷ ,640-8390,和歌山市有本120番地2,073-422-2848   ,               ,20,,10,1,2,消防設備行組,
998,的場　雅文                          ,ﾏﾄﾊﾞｻﾝ  ,642-0022,和歌山県海南市大野中47-1,073-483-3069   ,               ,20,,10,1,2,　　　　　　,
999,和田　博巳                          ,ﾜﾀﾞﾋﾛﾐ  ,        ,,               ,               ,0,,0,1,2,　　　　　　,
1012,三菱電機クレジット株式会社          ,ﾐﾂﾋﾞｼｸﾚｼ,530-0001,大阪府大阪市梅田1丁目8番17号_大阪第一生命ビル4階,06-6345-1800   ,               ,31,,31,2,2,　　　　　　,
1013,株式会社ナガヤマ                    ,ﾅｶﾞﾔﾏ   ,640-8303,和歌山県和歌山市鳴神736-5,073-475-3177   ,073-475-3178   ,31,,0,1,2,川端　　　　,080-7593-2833
1048,パナソニック株式会社 _システム機器(BU)品質保証部,ﾊﾟﾅｼｽﾃﾑ ,514-8555,三重県津市藤方1668,059-228-8913   ,059-228-7590   ,20,25,0,1,2,　　　　　　,
1003,株式会社ダイキチ _ボトルドウォーター事業部,ﾀﾞｲｷﾁ   ,542-0082,大阪府大阪市中央区島之内1-13-28,               ,               ,31,,31,1,2,　　　　　　,
165,株式会社ニチホウ                    ,ﾆﾁﾎｳ    ,105-6109,東京都港区浜松町2-4-1_世界貿易センタービルディング9階,03-5860-1927   ,03-5860-1928   ,20,,10,1,2,浅香さん　　,
187,株式会社冨士商會                    ,ﾌｼﾞｼｮｳｶｲ,640-8113,和歌山市広瀬通丁2-30,073-422-3101   ,               ,31,,10,1,2,　　　　　　,
208,株式会社初田製作所                  ,ﾊﾂﾀｾｲｻｸｼ,573-1132,大阪府枚方市招提田近3丁目5番地,               ,               ,20,,10,1,2,　　　　　　,
210,株式会社横井製作所                  ,ﾖｺｲｾｲｻｸｼ,530-8503,大阪府大阪市北区天満2-2-16_天満ビル３Ｆ,06-6358-5521   ,06-6355-2623   ,20,,10,1,2,　　　　　　,
211,マルヤマエクセル株式会社            ,ﾏﾙﾔﾏｴｸｾﾙ,130-8567,東京都墨田区緑1-2-10,               ,               ,20,,10,1,2,　　　　　　,
212,丸井産業株式会社                    ,ﾏﾙｲｻﾝｷﾞｮ,        ,和歌山県和歌山市禰宜1324-1,073-477-0101   ,073-475-0101   ,20,,10,1,2,　　　　　　,
230,殿村機械工具                        ,ﾄﾉﾑﾗｷｶｲ ,640-8327,和歌山市橋向丁八,073-423-8356   ,073-426-1355   ,20,,10,1,2,　　　　　　,
232,木下電気設備                        ,ｷﾉｼﾀﾃﾞﾝｷ,649-6112,紀の川市桃山町調月92-1,0736-60-2306   ,0736-60-2306   ,20,,10,1,2,　　　　　　,
234,正木　進                            ,ﾏｻｷ     ,640-0103,和歌山市加太2336-12,073-459-2513   ,080-1454-1179  ,20,,10,1,2,　　　　　　,
235,ハネダ防設株式会社                  ,ﾊﾈﾀﾞﾎﾞｳｾ,144-0043,東京都大田区羽田6-9-4_スカイフロントビル5階,03-5735-2123   ,03-5735-2124   ,20,,10,1,2,　　　　　　,
236,ヤマト運輸株式会社                  ,ﾔﾏﾄ     ,649-6275,和歌山市吐前字高砂877,073-477-1340   ,               ,20,,10,1,2,　　　　　　,
238,三和ハード株式会社                  ,ｻﾝﾜﾊｰﾄﾞ ,641-0007,和歌山市小雑賀212-4,073-425-1891   ,073-425-1903   ,20,,10,1,2,　　　　　　,
239,株式会社スズキ自販和歌山            ,ｽｽﾞｷ    ,        ,和歌山市有本103-2,073-476-5291   ,               ,20,,10,1,2,　　　　　　,
240,株式会社紀州建販                    ,ｷｼｭｳｹﾝﾊﾟ,640-8303,和歌山市鳴神1053-1,073-471-0232   ,               ,20,,10,1,2,　　　　　　,
241,和歌山県電気工事工業組合            ,ﾃﾞﾝｷｺｳｼﾞ,640-8145,和歌山市岡山丁36番地,073-424-3291   ,073-427-2241   ,20,,10,1,2,　　　　　　,
242,宮下電気                            ,ﾐﾔｼﾀﾃﾞﾝｷ,640-0361,和歌山市伊太祁曾451番地,073-478-2627   ,073-478-2627   ,20,,10,1,2,　　　　　　,
245,大谷工業株式会社                    ,ｵｵﾀﾆｺｳｷﾞ,580-0034,松原市天美西3丁目209-4,072-335-9585   ,072-335-9586   ,20,,20,1,2,　　　　　　,
247,㈱レンタルシューワ                  ,ﾚﾝﾀﾙｼｭｰﾜ,640-8422,和歌山市松江東2丁目1091,073-454-5201   ,073-454-5301   ,20,,10,1,2,　　　　　　,
248,森脇税理士事務所                    ,ﾓﾘﾜｷｼﾞﾑｼ,640-8324,和歌山市吹屋町3丁目25番2,073-428-3088   ,               ,20,,10,1,2,　　　　　　,
250,田中電気                            ,ﾀﾅｶﾃﾞﾝｷ ,649-6433,和歌山県紀の川市西三谷207-7,0736-60-1514   ,090-8790-5389  ,20,,10,1,2,　　　　　　,
251,木下電機                            ,ｷﾉｼﾀﾃﾞﾝｷ,        ,海南市大野中1056-191,073-483-1039   ,073-483-3484   ,20,,10,1,2,　　　　　　,
253,レンタルのニッケン                  ,ﾆｯｹﾝ    ,640-8421,和歌山市松江766-1,073-453-3744   ,073-453-4077   ,20,,10,1,2,　　　　　　,
254,和歌山県消防設備保守協会            ,ﾜｶﾔﾏｹﾝｼｮ,640-8249,和歌山市雑賀屋町52番地,073-402-2657   ,               ,20,,10,1,2,　　　　　　,
268,（株）目良建設                      ,ﾒﾗｹﾝｾﾂ  ,640-8303,和歌山市鳴神545,073-471-3313   ,073-473-6916   ,20,,10,1,2,　　　　　　,
273,塩地久子                            ,ｼｵｼﾞ    ,        ,御坊市藤田町吉田197-1,               ,               ,20,,10,1,1,　　　　　　,
274,ひらい電設                          ,ﾋﾗｲﾃﾞﾝｾﾂ,641-0001,和歌山市杭ノ瀬255-16,073-474-8133   ,073-474-8133   ,20,,10,1,2,　　　　　　,
275,前岡電設                            ,ﾏｴｵｶﾃﾞﾝｾ,649-6215,岩出市中迫491-24,0736-63-1939   ,0736-63-1939   ,20,,10,1,2,　　　　　　,
276,前島設備工業                        ,ﾏｴｼﾏｾﾂﾋﾞ,        ,和歌山市有本33,073-422-1789   ,               ,20,,10,1,2,　　　　　　,
277,和歌山県電気工事工業組合            ,ﾜｶﾔﾏﾃﾞﾝｷ,640-8145,和歌山市岡山丁36番地,073-424-3291   ,073-427-2241   ,20,,10,1,2,　　　　　　,
278,労働保険事務組合                    ,ﾛｳﾄﾞｳﾎｹﾝ,        ,,073-432-4565   ,               ,20,,10,1,2,　　　　　　,
282,牧宮事務所                          ,ﾏｷﾐﾔｼﾞﾑ ,640-8392,和歌山市中之島1876番地,073-432-4565   ,073-432-5456   ,20,,10,1,2,　　　　　　,
293,セコムアルファ株式会社              ,ｾｺﾑｱﾙﾌｧ ,        ,東京都渋谷区千駄ヶ谷5-17-14,03-3351-5338   ,03-3351-5393   ,20,,10,1,2,　　　　　　,
294,三和シャッター工業㈱                ,ｻﾝﾜｼｬｯﾀｰ,640-8341,和歌山市黒田158-1,073-471-6187   ,073-471-6259   ,20,,10,1,2,　　　　　　,
296,株式会社　北浦製作所                ,ｷﾀｳﾗｾｲｻｸ,645-0411,田辺市龍神村宮代1169,0739-78-0890   ,0739-78-0801   ,20,,10,1,2,　　　　　　,
303,藤島防災設備                        ,ﾌｼﾞｼﾏﾎﾞｳ,        ,富田林市藤沢台1丁目2-15,               ,               ,20,,10,1,2,　　　　　　,
306,楠電気工事                          ,ｸｽﾃﾞﾝｷ  ,648-0096,橋本市御幸辻444-101,0736-32-7274   ,0736-32-7274   ,20,,10,1,2,　　　　　　,
307,弓場電設                            ,ﾕﾐﾊﾞﾃﾞﾝｾ,        ,海南市岡田260-7,               ,               ,20,,10,1,2,　　　　　　,
310,岡クレーン                          ,ｵｶｸﾚｰﾝ  ,649-1323,日高郡日高町小熊2479,0738-23-0539   ,0738-23-0839   ,20,,10,1,2,　　　　　　,
313,神野電気                            ,ｶﾐﾉﾃﾞﾝｷ ,        ,和歌山市梅原179-12,073-453-2509   ,               ,20,,10,1,2,　　　　　　,
319,明成商事㈱                          ,ﾒｲｾｲｼｮｳｼ,        ,和歌山市小野町3丁目12番地,073-431-5221   ,073-431-5313   ,31,,10,1,2,　　　　　　,
324,高田電気工事                        ,ﾀｶﾀﾞﾃﾞﾝｷ,646-0058,田辺市目良9-1,0739-25-4880   ,0739-25-4880   ,20,,10,1,2,　　　　　　,
327,寺本保温                            ,ﾃﾗﾓﾄﾎｵﾝ ,640-8115,和歌山市東紺屋町64,073-426-0433   ,073-426-0433   ,20,,10,1,2,　　　　　　,
328,有限会社　ハンデン                  ,ﾊﾝﾃﾞﾝ   ,649-6262,和歌山市上三毛272-5,073-477-1510   ,073-477-5091   ,20,,10,1,2,　　　　　　,
329,有限会社　アリモト                  ,ｱﾘﾓﾄ    ,        ,和歌山市有本135,073-433-3863   ,073-428-1586   ,20,,10,1,2,　　　　　　,
330,株式会社　KINOSHITA                 ,ｷﾉｼﾀ    ,596-0812,岸和田市八田町362-1,0724-20-5568   ,0724-20-5569   ,20,,10,1,2,　　　　　　,
331,モアシステム株式会社                ,ﾓｱｼｽﾃﾑ  ,150,東京都渋谷区恵比寿2-13-6,03-3280-0769   ,               ,20,,10,1,2,　　　　　　,
334,下津建設株式会社                    ,ｼﾓﾂｹﾝｾﾂ ,649-0111,海南市下津町黒田30-7,073-492-2270   ,               ,20,,10,1,2,　　　　　　,
339,（財）関西電気保安協会              ,ｶﾝｻｲﾃﾞﾝｷ,        ,,               ,               ,20,,10,1,2,　　　　　　,
341,楠部塗装店                          ,ｸｽﾍﾞﾄｿｳ ,643-0166,有田郡有田川町吉原851-4,0737-32-5185   ,0737-32-5185   ,20,,10,1,2,　　　　　　,
350,有限会社　リング                    ,ﾘﾝｸﾞ    ,552-0011,大阪市港区南市岡2-1-21,06-6581-2880   ,06-6581-2890   ,20,,10,1,2,　　　　　　,
351,冨士産業株式会社                    ,ﾌｼﾞｻﾝｷﾞｮ,578-0925,東大阪市稲葉2-1-10,072-966-3451   ,072-966-3455   ,20,,10,1,2,　　　　　　,
352,山添印刷店                          ,ﾔﾏｿﾞｴｲﾝｻ,640-8390,和歌山市有本163,073-471-1911   ,073-173-9019   ,20,,10,1,2,　　　　　　,
369,パナソニックCCソリュージョンズ㈱    ,ﾊﾟﾅｿﾆｯｸ ,        ,和歌山市橋丁23,073-433-3311   ,               ,20,,10,1,2,　　　　　　,
370,株式会社須佐設備                    ,ｽｻｾﾂﾋﾞ  ,641-0001,和歌山県和歌山市杭ノ瀬252-24,073-494-3935   ,073-494-3918   ,20,,10,1,2,　　　　　　,
377,風輪                                ,ﾌｳﾘﾝ    ,        ,和歌山市西仲間町1-8,0734-31-1968   ,               ,20,,10,1,2,　　　　　　,
380,石井マーク                          ,ｲｼｲﾏｰｸ  ,530-0053,大阪市北区末広町2-38,06-6314-1410   ,06-6314-2502   ,20,,10,1,2,　　　　　　,
382,岡電機                              ,ｵｶﾃﾞﾝｷ  ,        ,有田市千田539-4,0737-83-5484   ,               ,20,,10,1,2,　　　　　　,
383,フォーレスト株式会社                ,ﾌｫｰﾚｽﾄ  ,        ,埼玉県さいたま市大宮区,0120-30-3014   ,120-40-4006    ,20,,10,1,2,　　　　　　,
386,沖株式会社                          ,ｵｷ      ,        ,,               ,               ,20,,10,1,2,　　　　　　,
387,和歌山県消防設備業組合              ,ﾜｶﾔﾏｹﾝｼｮ,        ,,               ,               ,20,,10,1,2,　　　　　　,
388,株式会社トーワ                      ,ﾄｰﾜ     ,583-0991,大阪府南河内郡太子町春日98-362,0120-100163    ,0120-100851    ,20,,10,1,2,　　　　　　,
395,キンパイ商事                        ,ｷﾝﾊﾟｲ   ,        ,大阪市淀川区野中北2丁目2番6号,06-6396-6451   ,               ,20,,10,1,2,　　　　　　,
398,和歌山納税協会                      ,ﾜｶﾔﾏﾉｳｾﾞ,        ,,               ,               ,20,,10,1,2,　　　　　　,
405,釘徳金物株式会社                    ,ｸｷﾞﾄｸ   ,530-0041,大阪市北区天神橋4-7-31,06-6351-1231   ,16-6351-1594   ,20,,10,1,2,　　　　　　,
406,井上　眞人                          ,ｲﾉｳｴﾏｻﾄ ,        ,和歌山市杭ノ瀬333-30,               ,               ,0,,0,1,2,　　　　　　,
407,株式会社メディアネットワーク        ,ﾒﾃﾞｨｱﾈｯ ,922-0106,石川県加賀市山中温泉上原町414,0761-78-0438   ,0761-78-4115   ,20,,10,1,2,　　　　　　,
416,Ｍ＆Ｍマツオカ                      ,ｴﾑｴﾑﾏﾂ  ,649-0131,海南市下津町塩津818,073-492-0831   ,073-492-0831   ,20,,10,1,2,　　　　　　,
417,和歌山トヨタ自動車                  ,ﾜｶﾔﾏﾄﾖﾀ ,        ,和歌山市西浜966,073-444-5100   ,               ,20,,10,1,2,　　　　　　,
420,四興株式会社                        ,ｼｺｳ     ,555-0013,大阪市西淀川区千舟2-13-18,06-6474-4480   ,06-6474-4404   ,20,,10,1,2,林営業部長　,
441,オク電気                            ,ｵｸﾃﾞﾝｷ  ,640-8422,和歌山市松江東4-1-81,073-452-9762   ,073-452-9762   ,31,,10,1,2,　　　　　　,
479,株式会社アドヴァンス櫻井            ,ｱﾄﾞｳﾞｧﾝｽ,640-8124,和歌山市雄松町２丁目3-2,073-427-4500   ,073-427-2600   ,20,,10,1,2,　　　　　　,
485,ナカ工業株式会社                    ,ﾅｶｺｳｷﾞｮｳ,532-0027,大阪市淀川区田川3-9-36,06-6886-8966   ,06-6886-8995   ,20,,10,1,2,　　　　　　,
520,アイル保健サービス                  ,ｱｲﾙ     ,        ,,0736-73-6498   ,0736-34-1000   ,20,,10,1,2,　　　　　　,
522,T.CRAFTﾔﾏﾄｼ                         ,yamatosh,640-8462,和歌山市粟367-28,073-412-0027   ,073-456-2455   ,20,,10,1,2,　　　　　　,
523,坂本葬儀店                          ,sakamoto,        ,和歌山県有田市千田58-5,0737-83-0359   ,               ,20,,10,1,2,　　　　　　,
524,NTT西日本                           ,ntt     ,640-8323,和歌山市太田4丁目4番41号,0120-712042    ,               ,20,,10,1,2,　　　　　　,
526,和田板金工業                        ,ﾜﾀﾞﾊﾞﾝｷﾝ,        ,和歌山市江南262-1,073-479-1382   ,073-479-1414   ,20,,10,1,2,　　　　　　,
528,本城水道工業所                      ,ﾎﾝｼﾞｮｳ  ,        ,神戸市兵庫区中道通2丁目1-16,078-575-5524   ,078-575-5526   ,20,,10,1,2,　　　　　　,
529,和歌山国際警備保障                  ,ﾜｶﾔﾏ    ,        ,和歌山市小人町南ノ丁5番地,073-428-3751   ,               ,20,,10,1,2,　　　　　　,
530,森本電気設備                        ,ﾓﾘﾓﾄ    ,        ,和歌山市市小路14-3番地,073-451-9741   ,               ,20,,10,1,2,　　　　　　,090-3260-1873
531,ｵﾌｨｽｻﾌﾟﾗｲ　つわぶき                 ,ﾂﾜﾌﾞｷ   ,640-0112,和歌山市西庄1107-1,073-452-1010   ,073-452-2010   ,20,,10,1,2,　　　　　　,
532,株式会社　マリーロード              ,ﾏﾘｰﾛｰﾄﾞ ,640-8286,和歌山市湊御殿2丁目5-1,073-428-3069   ,073-432-5835   ,20,,10,1,2,　　　　　　,
533,タクマ保温板金                      ,ﾀｸﾏ     ,581-0036,大阪府八尾市沼2丁目11-103,072-948-6332   ,072-948-6333   ,20,,10,1,2,　　　　　　,
535,井原　和也                          ,ｲﾊﾗ     ,643-0004,和歌山県有田郡湯浅町湯浅2070-4,0737-63-3636   ,0737-63-3636   ,20,,10,1,2,　　　　　　,
536,浦平オートサービス                  ,ｳﾗﾋﾗ    ,640-8404,和歌山市湊1820-194,073-453-2339   ,073-453-2523   ,20,,10,1,2,　　　　　　,
537,株式会社湘南ﾜｲﾊﾟｰｻﾌﾟﾗｲ              ,ｼｮｳﾅﾝ   ,245-0016,横浜市泉区和泉町4826-1,045-803-6155   ,               ,20,,10,1,2,　　　　　　,
538,温井鉄工所                          ,ﾇｸｲ     ,642-0012,海南市岡田127-1,073-482-3285   ,073-482-3285   ,20,,10,1,2,　　　　　　,
541,辻本硝子店                          ,ﾂｼﾞﾓﾄ   ,649-6258,和歌山県岩出市山791-4,0736-62-6462   ,0736-61-1910   ,20,,10,1,2,　　　　　　,
542,㈱消火器ﾘｻｲｸﾙ推進ｾﾝﾀｰ               ,ｼｮｳｶｷ   ,111-0051,東京都台東区蔵前3丁目15番7号,03-5829-6773   ,03-5829-6774   ,20,,10,1,2,　　　　　　,
543,ユニペックス株式会社                ,ﾕﾆﾍﾟｯｸｽ ,556-0005,大阪市浪速区日本橋4-2-7,06-6632-2855   ,06-6644-1624   ,20,,10,1,2,　　　　　　,
545,吉井　敏明                          ,ﾖｼｲ     ,        ,,               ,               ,20,,10,1,2,　　　　　　,
552,岡崎産業株式会社                    ,ｵｶｻﾞｷｻﾝｷ,550-0015,大阪市西区南堀江４丁目２３番２４号,06-6538-2286   ,06-6541-7910   ,20,,10,1,2,　　　　　　,
559,竹屋                                ,takeya  ,643-0055,和歌山県有田郡広川町井関678-6,               ,               ,20,,10,1,2,　　　　　　,
573,カロラ                              ,ｶﾛﾗ     ,640-8361,和歌山市岡円福院東ノ丁6　小椋ビル2F,073-432-8457   ,               ,20,,10,1,2,　　　　　　,
647,株式会社　電創                      ,ﾃﾞﾝｿｳ   ,640-8443,和歌山県和歌山市延時136-3,073-454-2616   ,073-454-2621   ,0,,10,1,2,森　　　　　,
649,宝樹重機工業株式会社                ,ﾎｳｼﾞｭｼﾞｭ,641-0062,和歌山市雑賀崎2017-25,073-446-4010   ,073-446-4011   ,0,,0,1,2,　　　　　　,
