売上№,売上日,行№,品名,単位,数量,単価,金額,備考
88478,2021/4/20,7,四番丁ハイム（総合点検）                ,式　,1,23960 ,23960 ,〃
88479,2021/4/20,1,サンハイツ関戸B棟                       ,　　,      ,         ,          ,
88479,2021/4/20,2,消火器10型                              ,本　,6,5700 ,34200 ,4月20日
88479,2021/4/20,3,消火器処分費                            ,本　,6,1000 ,6000 ,〃
88481,2021/4/20,1,消防設備保守点検                        ,　　,      ,         ,          ,
88481,2021/4/20,2,シャーメゾンオーキッド                  ,式　,1,770 ,770 ,
88481,2021/4/20,3,メゾンクレール                          ,式　,1,495 ,495 ,
88481,2021/4/20,4,フォーレスロ―カット                    ,式　,1,1320 ,1320 ,
88481,2021/4/20,5,シャーメゾン府中                        ,式　,1,495 ,495 ,
88481,2021/4/20,6,ヴィオス神前                            ,式　,1,495 ,495 ,
88481,2021/4/20,7,ヴィオトープ                            ,式　,1,770 ,770 ,
88481,2021/4/20,8,ジュリアード松江                        ,式　,1,770 ,770 ,
88481,2021/4/20,9,シャーメゾンうの                        ,式　,1,495 ,495 ,
88481,2021/4/20,10,シャーメゾン広川                        ,式　,1,495 ,495 ,
88481,2021/4/20,11,メゾン・ルテシィアⅡ                    ,式　,1,495 ,495 ,
88481,2021/4/20,12,シャーメゾン岩出                        ,式　,1,704 ,704 ,
88481,2021/4/20,13,シャーメゾン黒江                        ,式　,1,495 ,495 ,
88481,2021/4/20,14,シャーメゾン野田                        ,式　,1,737 ,737 ,
88481,2021/4/20,15,フロントパディーⅡ                      ,式　,1,737 ,737 ,
88481,2021/4/20,16,シャーメゾン名高                        ,式　,1,2068 ,2068 ,
88481,2021/4/20,17,シャーメゾン尾崎                        ,式　,1,1485 ,1485 ,
88481,2021/4/20,18,シャーメゾン有田                        ,式　,1,825 ,825 ,
88481,2021/4/20,19,シャーメゾン中島                        ,式　,1,770 ,770 ,
88481,2021/4/20,20,グリーンルーフ                          ,式　,1,660 ,660 ,
88481,2021/4/20,21,グリーンルーフ                          ,式　,1,660 ,660 ,
88481,2021/4/20,22,シャーメゾン砂山南                      ,式　,1,5907 ,5907 ,
88481,2021/4/20,23,べレオＫ                                ,式　,1,2068 ,2068 ,
88481,2021/4/20,24,べレオ太田                              ,式　,1,2068 ,2068 ,
88481,2021/4/20,25,シャーメゾンｂｒｉｌｌｉａｎｔ          ,式　,1,770 ,770 ,
88481,2021/4/20,26,べレオ新通                              ,式　,1,2068 ,2068 ,
88481,2021/4/20,27,アメニティ太田                          ,式　,1,770 ,770 ,
88481,2021/4/20,28,べレオ堀止西                            ,式　,1,2068 ,2068 ,
88481,2021/4/20,29,ヴィレッジ三年坂                        ,式　,1,4136 ,4136 ,
88481,2021/4/20,30,ベレオ西浜ハーモニーガーデン            ,式　,1,3102 ,3102 ,
88481,2021/4/20,31,ディアス妙寺                            ,式　,1,693 ,693 ,
88481,2021/4/20,32,グリーンルーフ妙寺                      ,式　,1,990 ,990 ,
88481,2021/4/20,33,ベレオ園部                              ,式　,1,3102 ,3102 ,
88481,2021/4/20,34,ガーデンハイツⅡ                        ,式　,1,770 ,770 ,
88481,2021/4/20,35,コラール堀止                            ,式　,1,770 ,770 ,
88481,2021/4/20,36,シャーメゾン葵                          ,式　,1,495 ,495 ,
88481,2021/4/20,37,ベルデ堀口                              ,式　,1,2068 ,2068 ,
88481,2021/4/20,38,シャーメゾンＷＩＬＬ                    ,式　,1,770 ,770 ,
88481,2021/4/20,39,ＳｈａＭａｉｓｏｎ　ＮＡ                ,式　,1,770 ,770 ,
88481,2021/4/20,40,ベレオＢｒｉｌｌｉａｎｔ                ,式　,1,1650 ,1650 ,
88481,2021/4/20,41,ベレオ紀三井寺                          ,式　,1,1100 ,1100 ,
88481,2021/4/20,42,ベレオけやき                            ,式　,1,4136 ,4136 ,
88481,2021/4/20,43,シャーメゾン松江北                      ,式　,1,495 ,495 ,
88481,2021/4/20,44,ベレオコスモ                            ,式　,1,1650 ,1650 ,
88481,2021/4/20,45,シャーメゾンＬａＬａ                    ,式　,1,770 ,770 ,
88481,2021/4/20,46,ベレオ小堀                              ,式　,1,4136 ,4136 ,
88481,2021/4/20,47,ベレオ寺町通り                          ,式　,1,3102 ,3102 ,
88481,2021/4/20,48,メゾンド・ベレオ                        ,式　,1,1650 ,1650 ,
88481,2021/4/20,49,シャーメゾン宝亀                        ,式　,1,3454 ,3454 ,
88481,2021/4/20,50,ベレオ小野町                            ,式　,1,2068 ,2068 ,
88481,2021/4/20,51,シャーメゾン彩花                        ,式　,1,990 ,990 ,
88481,2021/4/20,52,ベレオ広瀬                              ,式　,1,5907 ,5907 ,
88481,2021/4/20,53,Ｔｏｕｒｎｅｓｏｌ                      ,式　,1,4136 ,4136 ,
88481,2021/4/20,54,Ｍａｉｓｏｎ　ｄｅ　Ａｌｌｉｅ          ,式　,1,495 ,495 ,
88481,2021/4/20,55,ディアス松野                            ,式　,1,1045 ,1045 ,
88481,2021/4/20,56,プロヌーブ今福                          ,式　,1,990 ,990 ,
88481,2021/4/20,57,ベレオ黒田ＳＯＵＴＨ                    ,式　,1,990 ,990 ,
88481,2021/4/20,58,Ｆｅｌｉｃａ紀三井寺                    ,式　,1,770 ,770 ,
88481,2021/4/20,59,ＢＥＲＥＯ　ＷＡＫＡＹＡＭＡ            ,式　,1,1595 ,1595 ,
88481,2021/4/20,60,シャーメゾン茶屋ノ丁                    ,式　,1,495 ,495 ,
88481,2021/4/20,61,ベレオくすのき                          ,式　,1,4136 ,4136 ,
88481,2021/4/20,62,ＢＥＲＥＯ　Ｒｉａｎ                    ,式　,1,3102 ,3102 ,
88481,2021/4/20,63,フレグランス船所                        ,式　,1,1166 ,1166 ,
88481,2021/4/20,64,フレグランス船所Ⅱ                      ,式　,1,1320 ,1320 ,
88481,2021/4/20,65,メゾンドソレイユ                        ,式　,1,245 ,245 ,
88481,2021/4/20,66,シャーメゾンガーデンズ紀三井寺          ,式　,1,770 ,770 ,
88481,2021/4/20,67,シャーメゾン幡川                        ,式　,1,990 ,990 ,
88481,2021/4/20,68,ロイヤルヒルズ三番丁                    ,式　,1,1650 ,1650 ,
88481,2021/4/20,69,シャーメゾン秋月の杜                    ,式　,1,770 ,770 ,
88481,2021/4/20,70,ブランシェ堀止                          ,式　,1,495 ,495 ,
88481,2021/4/20,71,ベレオクシモト                          ,式　,1,4092 ,4092 ,
88481,2021/4/20,72,ベレオグルース西紺屋                    ,式　,1,1595 ,1595 ,
88481,2021/4/20,73,プロヌーブ下津野                        ,式　,1,990 ,990 ,
88481,2021/4/20,74,リヴェール　ヒデ                        ,式　,1,770 ,770 ,
88481,2021/4/20,75,シャーメゾンＭＩＳＡ                    ,式　,1,660 ,660 ,
88481,2021/4/20,76,ディアス松島                            ,式　,1,517 ,517 ,
88481,2021/4/20,77,Ｂｅｒｅｏ　宙                          ,式　,1,1518 ,1518 ,
88481,2021/4/20,78,ベレオ金龍寺丁                          ,式　,1,1650 ,1650 ,
88481,2021/4/20,79,ベレオ宮北                              ,式　,1,1320 ,1320 ,
88481,2021/4/20,80,タウニィ寿里                            ,式　,1,1320 ,1320 ,
88481,2021/4/20,81,フォーブル木ノ本                        ,式　,1,1166 ,1166 ,
88481,2021/4/20,82,ラベニュー城山                          ,式　,1,770 ,770 ,
88481,2021/4/20,83,フレグランス吹上                        ,式　,1,495 ,495 ,
88481,2021/4/20,84,メゾン南方                              ,式　,1,1045 ,1045 ,
88481,2021/4/20,85,ラベニュー岩橋                          ,式　,1,1166 ,1166 ,
88481,2021/4/20,86,タウニィ山村                            ,式　,1,770 ,770 ,
88481,2021/4/20,87,ラベニュー谷口                          ,式　,1,1320 ,1320 ,
88481,2021/4/20,88,タウニィ酒井                            ,式　,1,693 ,693 ,
88481,2021/4/20,89,フレグランス畑屋敷                      ,式　,1,495 ,495 ,
88481,2021/4/20,90,フォーブル苗代                          ,式　,1,693 ,693 ,
88481,2021/4/20,91,フォーブル若葉                          ,式　,1,770 ,770 ,
88481,2021/4/20,92,フォーブル松見                          ,式　,1,1320 ,1320 ,
88481,2021/4/20,93,ラベニューコスモ                        ,式　,1,770 ,770 ,
88481,2021/4/20,94,タウニィ紀ノ川                          ,式　,1,693 ,693 ,
88481,2021/4/20,95,タウニィ料理松                          ,式　,1,1122 ,1122 ,
88481,2021/4/20,96,タウニィ清水                            ,式　,1,770 ,770 ,
88481,2021/4/20,97,タウニィ浜代                            ,式　,1,968 ,968 ,
88481,2021/4/20,98,タウニィ浜代２                          ,式　,1,693 ,693 ,
88481,2021/4/20,99,フォーブルさち                          ,式　,1,1397 ,1397 ,
88481,2021/4/20,100,タウニィ美園                            ,式　,1,693 ,693 ,
88481,2021/4/20,101,フレグランス松江                        ,式　,1,495 ,495 ,
88481,2021/4/20,102,セキワガーデンハウス春日                ,式　,1,968 ,968 ,
88481,2021/4/20,103,ラベニュー根来                          ,式　,1,693 ,693 ,
88481,2021/4/20,104,シローズフレグランス                    ,式　,1,770 ,770 ,
88481,2021/4/20,105,ドミールクルス                          ,式　,1,1320 ,1320 ,
88481,2021/4/20,106,グリーンビレッジ２１                    ,式　,1,2145 ,2145 ,
88481,2021/4/20,107,サニーハイツひまわり                    ,式　,1,1320 ,1320 ,
88481,2021/4/20,108,パールハイツ有田                        ,式　,1,968 ,968 ,
88481,2021/4/20,109,フレグランス小林                        ,式　,1,495 ,495 ,
88481,2021/4/20,110,フレグランス延時                        ,式　,1,495 ,495 ,
88481,2021/4/20,111,フレグランス畑毛                        ,式　,1,1320 ,1320 ,
88481,2021/4/20,112,フレグランス藤井                        ,式　,1,770 ,770 ,
88481,2021/4/20,113,フレグランス山崎                        ,式　,1,1166 ,1166 ,
88481,2021/4/20,114,フレグランス森澤                        ,式　,1,1320 ,1320 ,
88481,2021/4/20,115,フレグランス中松江                      ,式　,1,693 ,693 ,
88481,2021/4/20,116,ガーデンハイツ箕島                      ,式　,1,693 ,693 ,
88481,2021/4/20,117,アドザックス吉田                        ,式　,1,495 ,495 ,
88481,2021/4/20,118,石津ハイツ                              ,式　,1,1045 ,1045 ,
88481,2021/4/20,119,フォーブル石野                          ,式　,1,770 ,770 ,
88481,2021/4/20,120,フレグランス翠                          ,」式,1,2354 ,2354 ,
88481,2021/4/20,121,アドザックス吉田Ｂ棟                    ,式　,1,495 ,495 ,
88481,2021/4/20,122,マリポーサ前田                          ,式　,1,495 ,495 ,
88481,2021/4/20,123,フレグランス巴                          ,式　,1,1485 ,1485 ,
88481,2021/4/20,124,フレグランス堀止                        ,式　,1,495 ,495 ,
88481,2021/4/20,125,フレグランス六十谷                      ,式　,1,770 ,770 ,
88481,2021/4/20,126,フレグランス木ノ本                      ,式　,1,495 ,495 ,
88481,2021/4/20,127,フレグランス今吉                        ,式　,1,1166 ,1166 ,
88481,2021/4/20,128,フレグランス矢野                        ,式　,1,1045 ,1045 ,
88481,2021/4/20,129,フレグランス平田                        ,式　,1,495 ,495 ,
88481,2021/4/20,130,フレグランス築港                        ,式　,1,495 ,495 ,
88481,2021/4/20,131,フレグランス松ヶ丘                      ,式　,1,495 ,495 ,
88481,2021/4/20,132,フレグランス秋桜                        ,式　,1,495 ,495 ,
88481,2021/4/20,133,フレグランス雑賀                        ,式　,1,968 ,968 ,
88481,2021/4/20,134,フレグランスロゼ                        ,式　,1,2134 ,2134 ,
88481,2021/4/20,135,グラン・ファーム                        ,式　,1,1166 ,1166 ,
88481,2021/4/20,136,フレグランス栄                          ,式　,1,1045 ,1045 ,
88481,2021/4/20,137,Ｃｉｔｙ　Ｋｉｎｏｍｏｔｏ              ,式　,1,968 ,968 ,
88481,2021/4/20,138,フレグランスせせらぎ                    ,式　,1,495 ,495 ,
88481,2021/4/20,139,フレグランスＡＫＩＨＯ                  ,式　,1,968 ,968 ,
88481,2021/4/20,140,フレグランスさつき                      ,式　,1,770 ,770 ,
88481,2021/4/20,141,ガーデンハイツ小二里                    ,式　,1,1320 ,1320 ,
88481,2021/4/20,142,フレグランス桜ヶ丘                      ,式　,1,495 ,495 ,
88481,2021/4/20,143,ガーデンハイツ小二里２                  ,式　,1,495 ,495 ,
88481,2021/4/20,144,ディアスワーブラー                      ,式　,1,770 ,770 ,
88481,2021/4/20,145,フレグランス藤井Ⅱ                      ,式　,1,693 ,693 ,
88481,2021/4/20,146,フレグランスフクイ                      ,式　,1,968 ,968 ,
88481,2021/4/20,147,ディアス栄谷                            ,式　,1,495 ,495 ,
88481,2021/4/20,148,ディアスかもと                          ,式　,1,968 ,968 ,
88481,2021/4/20,149,ベルメゾン                              ,式　,1,1320 ,1320 ,
88481,2021/4/20,150,フレグランス竹中                        ,式　,1,495 ,495 ,
88481,2021/4/20,151,ディアス松ヶ丘                          ,式　,1,495 ,495 ,
88481,2021/4/20,152,ディアス北村                            ,式　,1,1122 ,1122 ,
88481,2021/4/20,153,ディアスミレット                        ,式　,1,1320 ,1320 ,
88481,2021/4/20,154,ディアスＭ                              ,式　,1,1958 ,1958 ,
88481,2021/4/20,155,フォーブル松南                          ,式　,1,495 ,495 ,
88481,2021/4/20,156,ウェストヒルズ                          ,式　,1,1320 ,1320 ,
88481,2021/4/20,157,フレグランス布施屋                      ,式　,1,770 ,770 ,
88481,2021/4/20,158,ディアス小雑賀                          ,式　,1,847 ,847 ,
88481,2021/4/20,159,ラ・サルデーヌ                          ,式　,1,3234 ,3234 ,
88481,2021/4/20,160,ディアス黒江                            ,式　,1,1320 ,1320 ,
88481,2021/4/20,161,ディアス藤本                            ,式　,1,495 ,495 ,
88481,2021/4/20,162,ディアス藤本Ⅱ                          ,式　,1,495 ,495 ,
88481,2021/4/20,163,ディアスウチタ                          ,式　,1,495 ,495 ,
88481,2021/4/20,164,フレグランスうの                        ,式　,1,1315 ,1315 ,
88481,2021/4/20,165,フレグランスⅠ                          ,式　,1,770 ,770 ,
88481,2021/4/20,166,ディアス寿里                            ,式　,1,1397 ,1397 ,
88481,2021/4/20,167,フレグランス宮原                        ,式　,1,968 ,968 ,
88481,2021/4/20,168,ディアスミニ                            ,式　,1,495 ,495 ,
88481,2021/4/20,169,ディアス一本松                          ,式　,1,2376 ,2376 ,
88481,2021/4/20,170,ディアス城山                            ,式　,1,770 ,770 ,
88481,2021/4/20,171,フレグランス池尻                        ,式　,1,495 ,495 ,
88481,2021/4/20,172,フレグランス大宮                        ,式　,1,693 ,693 ,
88481,2021/4/20,173,楠見中ディアス                          ,式　,1,968 ,968 ,
88481,2021/4/20,174,セフィラ　プラッツ                      ,式　,1,770 ,770 ,
88481,2021/4/20,175,ハイツ楠                                ,式　,1,495 ,495 ,
88481,2021/4/20,176,サニーコート                            ,式　,1,1430 ,1430 ,
88481,2021/4/20,177,フォーレスうえだ                        ,式　,1,1694 ,1694 ,
88481,2021/4/20,178,ハイツ萩                                ,式　,1,693 ,693 ,
88481,2021/4/20,179,フォーレス有本                          ,式　,1,1045 ,1045 ,
88481,2021/4/20,180,楠見中ディアスⅡ                        ,式　,1,495 ,495 ,
88481,2021/4/20,181,ハイツ森                                ,式　,1,1045 ,1045 ,
88481,2021/4/20,182,フォーレス花野                          ,式　,1,1166 ,1166 ,
88481,2021/4/20,183,フレグランス小雑賀                      ,式　,1,770 ,770 ,
88481,2021/4/20,184,グリーンルーフ塩屋                      ,式　,1,495 ,495 ,
88481,2021/4/20,185,フレグランス南紀の台                    ,式　,1,990 ,990 ,
88481,2021/4/20,186,グリーンルーフＣｏｃｃｏ                ,式　,1,495 ,495 ,
88481,2021/4/20,187,ハイツ楠Ⅱ                              ,式　,1,495 ,495 ,
88481,2021/4/20,188,シャーメゾン山中                        ,式　,1,495 ,495 ,
88481,2021/4/20,189,シャーメゾン高松                        ,式　,1,770 ,770 ,
88481,2021/4/20,190,メゾン雑賀                              ,式　,1,495 ,495 ,
88481,2021/4/20,191,グリーンルーフのうがわ                  ,式　,1,968 ,968 ,
88481,2021/4/20,192,ドエルＫ                                ,式　,1,495 ,495 ,
88481,2021/4/20,193,シャーメゾン山崎                        ,式　,1,1320 ,1320 ,
88481,2021/4/20,194,シャーメゾン新堂                        ,式　,1,1870 ,1870 ,
88481,2021/4/20,195,シャーメゾン小雑賀                      ,式　,1,1045 ,1045 ,
88481,2021/4/20,196,エクセレンス六十谷                      ,式　,1,770 ,770 ,
88481,2021/4/20,197,シャーメゾンＨＡＭＡＩＣＨＩ            ,式　,1,990 ,990 ,
88481,2021/4/20,198,シャーメゾン打田                        ,式　,1,1045 ,1045 ,
88481,2021/4/20,199,シャーメゾン堀口                        ,式　,1,1320 ,1320 ,
88481,2021/4/20,200,シャーメゾン新堂Ⅱ                      ,式　,1,1045 ,1045 ,
88481,2021/4/20,201,シャーメゾンキタグチ                    ,式　,1,495 ,495 ,
88481,2021/4/20,202,セファミ荊本                            ,式　,1,1045 ,1045 ,
88481,2021/4/20,203,フォーレスＩ＆Ｎ                        ,式　,1,495 ,495 ,
88481,2021/4/20,204,シャーメゾンＭ                          ,式　,1,495 ,495 ,
88481,2021/4/20,205,ヴィンヤードハウスⅢ                    ,式　,1,495 ,495 ,
88481,2021/4/20,206,エクセレンス六十谷Ⅱ                    ,式　,1,770 ,770 ,
88481,2021/4/20,207,ガーデンハイツ湯浅                      ,式　,1,770 ,770 ,
88481,2021/4/20,208,ルミエール湊                            ,式　,1,770 ,770 ,
88481,2021/4/20,209,シャーメゾン紀峰                        ,式　,1,770 ,770 ,
88481,2021/4/20,210,グランメール福島                        ,式　,1,770 ,770 ,
88481,2021/4/20,211,パールハイツ箕島                        ,式　,1,693 ,693 ,
88481,2021/4/20,212,ワイズヴィラ                            ,式　,1,550 ,550 ,
88481,2021/4/20,213,フォーレス・ノベル                      ,式　,1,770 ,770 ,
88481,2021/4/20,214,藤栄ハイツ                              ,式　,1,693 ,693 ,
88481,2021/4/20,215,ラ・サルデーヌⅡ                        ,式　,1,495 ,495 ,
88481,2021/4/20,216,メゾン・ルテシィア                      ,式　,1,495 ,495 ,
88481,2021/4/20,217,シャーメゾン下津                        ,式　,1,693 ,693 ,
88481,2021/4/20,218,シャーメゾンくすの木                    ,式　,1,1980 ,1980 ,
88481,2021/4/20,219,シャーメゾン笠松                        ,式　,1,770 ,770 ,
88481,2021/4/20,220,パークハイツ                            ,式　,1,495 ,495 ,
88481,2021/4/20,221,サニーハイツ向島                        ,式　,1,495 ,495 ,
88481,2021/4/20,222,リバーサイド湯浅                        ,式　,1,770 ,770 ,
88481,2021/4/20,223,ラガール湯浅                            ,式　,1,495 ,495 ,
88481,2021/4/20,224,五月ハイツ                              ,式　,1,1386 ,1386 ,
88481,2021/4/20,225,アン・セリジェ                          ,式　,1,770 ,770 ,
88481,2021/4/20,226,ブランシェ前田                          ,式　,1,770 ,770 ,
88481,2021/4/20,227,シャーメゾン青木                        ,式　,1,770 ,770 ,
88481,2021/4/20,228,フォーナス                              ,式　,1,968 ,968 ,
88481,2021/4/20,229,パレスデュオ・照（テラス）              ,式　,1,770 ,770 ,
88481,2021/4/20,230,シャーメゾンハーヴェスト                ,式　,1,770 ,770 ,
88481,2021/4/20,231,クレール松ヶ丘                          ,式　,1,495 ,495 ,
88481,2021/4/20,232,クレール                                ,式　,1,770 ,770 ,
88481,2021/4/20,233,アン・セリジェ　Ⅱ                      ,式　,1,495 ,495 ,
88481,2021/4/20,234,フレグランス二里ヶ浜                    ,式　,1,770 ,770 ,
88481,2021/4/20,235,アベニール                              ,式　,1,770 ,770 ,
88481,2021/4/20,236,ディアス赤坂                            ,式　,1,770 ,770 ,
88481,2021/4/20,237,カサ・フィオーレＦＧ                    ,式　,1,770 ,770 ,
88481,2021/4/20,238,シャーメゾン安上                        ,式　,1,968 ,968 ,
88481,2021/4/20,239,フローラ                                ,式　,1,770 ,770 ,
88481,2021/4/20,240,ワイズコート                            ,式　,1,495 ,495 ,
88481,2021/4/20,241,シャーメゾン西高松                      ,式　,1,495 ,495 ,
88481,2021/4/20,242,シャーメゾン木ノ本                      ,式　,1,693 ,693 ,
88481,2021/4/20,243,ブランシェＳ                            ,式　,1,693 ,693 ,
88481,2021/4/20,244,ディアスＡＫＩＨＯ                      ,式　,1,693 ,693 ,
88481,2021/4/20,245,シャンブルＭ                            ,式　,1,968 ,968 ,
88481,2021/4/20,246,シャーメゾン幸輝                        ,式　,1,1166 ,1166 ,
88481,2021/4/20,247,ボナール千且                            ,式　,1,770 ,770 ,
88481,2021/4/20,248,イマージュ浜の宮                        ,式　,1,495 ,495 ,
88481,2021/4/20,249,ヴィラ天神崎                            ,式　,1,935 ,935 ,
88481,2021/4/20,250,シャーメゾンフクイ                      ,式　,1,495 ,495 ,
88481,2021/4/20,251,アヴェンヌ太田                          ,式　,1,1122 ,1122 ,
88481,2021/4/20,252,メゾネット松島                          ,式　,1,495 ,495 ,
88481,2021/4/20,253,シャーメゾン今福                        ,式　,1,495 ,495 ,
88481,2021/4/20,254,イマージュ浜の宮Ⅱ                      ,式　,1,693 ,693 ,
88481,2021/4/20,255,シャーメゾン元町奉行                    ,式　,1,220 ,220 ,
88481,2021/4/20,256,シャーメゾン松ヶ丘                      ,式　,1,220 ,220 ,
88481,2021/4/20,257,シャーメゾン西浜Ａ                      ,式　,1,693 ,693 ,
88481,2021/4/20,258,和歌浦ガーデンテラス                    ,式　,1,1320 ,1320 ,
88481,2021/4/20,259,シャーメゾン彩都Ａ                      ,式　,1,693 ,693 ,
88481,2021/4/20,260,シャーメゾンロイヤルヒルズⅠ            ,式　,1,495 ,495 ,
88481,2021/4/20,261,シャーメゾン下津野                      ,式　,1,1166 ,1166 ,
88482,2021/4/15,1,テックランド久里浜店                    ,　　,      ,         ,          ,
88482,2021/4/15,2,＜9944＞改装工事                        ,式　,1,450000 ,450000 ,
88482,2021/4/15,3,＜10064＞防災工事（消防指摘事項12）     ,式　,1,361000 ,361000 ,
88482,2021/4/15,4,＜10243＞防災工事（最終）               ,式　,1,450000 ,450000 ,
88483,2021/4/15,1,表参道Queency                           ,　　,      ,         ,          ,
88483,2021/4/15,2,＜10237＞店舗工事に伴う追加工事         ,式　,1,738000 ,738000 ,
88484,2021/4/15,1,テックランド横浜金沢店                  ,　　,      ,         ,          ,
88484,2021/4/15,2,＜10060＞防災工事                       ,式　,1,89100 ,89100 ,
88488,2021/4/16,1,㈱阪南リサイクルセンタ様邸              ,　　,      ,         ,          ,
88488,2021/4/16,2,電気設備工事                            ,式　,1,250000 ,250000 ,4/15・4/16
88491,2021/4/17,1,ライフサイズ野崎　様                    ,　　,      ,         ,          ,
88491,2021/4/17,2,地下スプリンクラー設備修理(R2.8/26見積) ,　　,      ,         ,          ,
88491,2021/4/17,3,スプリンクラーヘッド                    ,個　,1,2000 ,2000 ,
88491,2021/4/17,4,同上フレキ                              ,本　,1,3500 ,3500 ,
88491,2021/4/17,5,光電式スポット型感知器2種               ,個　,1,13000 ,13000 ,
88491,2021/4/17,6,同上付属品                              ,式　,1,5000 ,5000 ,
88491,2021/4/17,7,工事費（緊急対応費含む）                ,式　,1,100000 ,100000 ,
88491,2021/4/17,8,試験調整費                              ,式　,1,20000 ,20000 ,
88491,2021/4/17,9,消耗品雑材費                            ,式　,1,5000 ,5000 ,
88491,2021/4/17,10,諸経費                                  ,式　,1,14500 ,14500 ,
88491,2021/4/17,11,                                        ,　　,      ,         ,          ,
88491,2021/4/17,12,地下スプリンクラー設備修理(R3.3/19見積) ,　　,      ,         ,          ,
88491,2021/4/17,13,スプリンクラーヘッド                    ,個　,1,2000 ,2000 ,
88491,2021/4/17,14,同上フレキ                              ,本　,1,3500 ,3500 ,
88491,2021/4/17,15,工事費                                  ,式　,1,20000 ,20000 ,
88491,2021/4/17,16,消耗品雑材費                            ,式　,1,2000 ,2000 ,
88491,2021/4/17,17,諸経費                                  ,式　,1,2500 ,2500 ,
88491,2021/4/17,18,                                        ,　　,      ,         ,          ,
88491,2021/4/17,19,6階スプリンクラー設備修理               ,　　,      ,         ,          ,
88491,2021/4/17,20,スプリンクラーヘッド                    ,個　,17,2000 ,34000 ,
88491,2021/4/17,21,同上フレキ                              ,個　,17,3500 ,59500 ,
88491,2021/4/17,22,工事費                                  ,式　,1,170000 ,170000 ,
88491,2021/4/17,23,消耗品雑材費                            ,式　,1,10000 ,10000 ,
