売上日,売上№,得意先ｺｰﾄﾞ,売上分類
2021/6/20,88679,1088,防災  
2021/6/19,88688,45,防災  
2021/6/19,88856,199,電気  
2021/6/18,88707,48,電気  
2021/6/18,88809,60,電気  
2021/6/18,88773,262,防災  
2021/6/18,88753,732,防災  
2021/6/18,88756,1075,電気  
2021/6/17,88754,1055,電気  
2021/6/16,88678,152,防災  
2021/6/16,88820,578,防災  
2021/6/16,88737,751,防災  
2021/6/16,88827,844,防災  
2021/6/15,88743,15,防災  
2021/6/15,88671,131,防災  
2021/6/15,88673,634,防災  
2021/6/15,88675,634,電気  
2021/6/14,88774,616,防災  
2021/6/11,88705,279,電気  
2021/6/11,88778,1009,電気  
2021/6/9,88741,15,防災  
2021/6/9,88686,38,防災  
2021/6/9,88668,652,防災  
2021/6/9,88669,652,防災  
2021/6/7,88696,36,防災  
2021/6/7,88734,751,防災  
2021/6/7,88868,751,防災  
2021/6/5,88821,3,防災  
2021/6/5,88763,514,防災  
2021/6/5,88784,751,防災  
2021/6/5,88781,899,電気  
2021/6/4,88745,15,防災  
2021/6/4,88776,616,防災  
2021/6/4,88760,1082,防災  
2021/6/3,88740,15,防災  
2021/6/2,88779,259,電気  
2021/6/2,88761,688,防災  
2021/6/2,88735,751,防災  
2021/6/1,88744,15,防災  
2021/6/1,88736,751,防災  
2021/6/1,88772,1059,防災  
2021/5/31,88619,15,防災  
2021/5/31,88650,15,防災  
2021/5/31,88684,45,防災  
2021/5/31,88697,48,電気  
2021/5/31,88663,199,電気  
2021/5/31,88666,199,電気  
2021/5/31,88654,419,防災  
2021/5/31,88643,751,防災  
2021/5/31,88629,899,電気  
2021/5/31,88670,1065,防災  
2021/5/29,88775,616,防災  
2021/5/28,88722,438,防災  
2021/5/28,88723,763,防災  
2021/5/27,88716,138,防災  
2021/5/27,88637,259,電気  
2021/5/27,88633,692,電気  
2021/5/27,88645,751,防災  
2021/5/27,88721,1089,防災  
2021/5/26,88683,45,防災  
2021/5/26,88764,1009,防災  
2021/5/26,88632,1071,防災  
2021/5/25,88691,152,防災  
2021/5/25,88706,279,電気  
2021/5/25,88618,505,防災  
2021/5/25,88628,1059,防災  
2021/5/25,88638,1082,防災  
2021/5/24,88620,15,防災  
2021/5/24,88699,292,電気  
2021/5/24,88695,546,防災  
2021/5/22,88682,45,防災  
2021/5/22,88636,259,電気  
2021/5/21,88624,15,防災  
2021/5/21,88681,45,防災  
2021/5/21,88616,652,防災  
2021/5/20,88584,45,防災  
2021/5/20,88581,378,防災  
2021/5/20,88646,751,防災  
2021/5/19,88596,3,防災  
2021/5/19,88594,663,防災  
2021/5/18,88639,284,防災  
2021/5/18,88601,582,防災  
2021/5/18,88703,881,電気  
2021/5/17,88655,207,防災  
2021/5/15,88622,15,防災  
2021/5/15,88591,45,防災  
2021/5/15,88583,634,電気  
2021/5/14,88630,616,防災  
2021/5/14,88653,729,防災  
2021/5/13,88625,15,防災  
2021/5/13,88626,15,防災  
2021/5/13,88649,751,防災  
2021/5/13,88711,972,防災  
2021/5/12,88712,152,防災  
2021/5/12,88644,751,防災  
2021/5/12,88648,751,防災  
2021/5/11,88590,45,防災  
2021/5/11,88651,284,防災  
2021/5/8,88614,11,電気  
2021/5/8,88589,45,防災  
2021/5/8,88634,259,防災  
2021/5/8,88597,546,電気  
2021/5/7,88592,38,防災  
2021/5/7,88577,652,防災  
2021/5/7,88647,751,防災  
2021/5/6,88603,48,電気  
2021/5/6,88604,48,電気  
2021/5/6,88631,452,防災  
2021/5/6,88700,881,防災  
2021/5/1,88621,15,防災  
2021/4/30,88546,15,防災  
2021/4/30,88593,38,防災  
2021/4/30,88587,45,防災  
2021/4/30,88588,45,防災  
2021/4/30,88574,199,防災  
2021/4/30,88562,259,防災  
2021/4/30,88565,259,電気  
2021/4/30,88560,419,防災  
2021/4/30,88533,616,防災  
2021/4/30,88571,616,防災  
2021/4/30,88559,729,防災  
2021/4/30,88539,751,防災  
2021/4/30,88575,751,防災  
2021/4/30,88576,751,防災  
2021/4/30,88570,899,防災  
2021/4/30,88578,1065,防災  
2021/4/29,88615,871,防災  
2021/4/28,88566,419,防災  
2021/4/28,88544,751,防災  
2021/4/27,88609,148,防災  
2021/4/27,88573,1083,防災  
2021/4/26,88652,42,防災  
2021/4/25,88495,505,防災  
2021/4/24,88554,15,防災  
2021/4/24,88556,15,防災  
2021/4/24,88623,15,防災  
2021/4/24,88585,45,防災  
2021/4/24,88586,45,防災  
2021/4/24,88542,396,防災  
2021/4/23,88569,15,防災  
2021/4/23,88599,37,防災  
2021/4/23,88605,37,防災  
2021/4/23,88635,259,電気  
2021/4/22,88715,38,防災  
2021/4/22,88701,881,電気  
2021/4/21,88555,15,防災  
2021/4/21,88602,21,防災  
2021/4/21,88540,751,防災  
2021/4/20,88478,45,防災  
2021/4/20,88479,45,防災  
2021/4/20,88515,180,防災  
2021/4/20,88481,378,防災  
2021/4/19,88610,601,防災  
2021/4/19,88606,762,防災  
2021/4/19,88713,1042,防災  
2021/4/18,88509,38,防災  
2021/4/17,88491,950,防災  
2021/4/16,88545,15,防災  
2021/4/16,88501,48,電気  
2021/4/16,88504,48,防災  
2021/4/16,88505,48,電気  
2021/4/16,88488,1082,防災  
2021/4/15,88549,15,防災  
2021/4/15,88493,279,電気  
2021/4/15,88537,419,防災  
2021/4/15,88482,634,防災  
2021/4/15,88483,634,防災  
2021/4/15,88484,634,防災  
2021/4/14,88507,38,防災  
2021/4/14,88529,198,防災  
2021/4/14,88690,657,防災  
2021/4/13,88608,3,防災  
2021/4/13,88553,15,防災  
2021/4/13,88607,21,防災  
2021/4/13,88477,45,防災  
2021/4/13,88499,292,防災  
2021/4/13,88497,494,防災  
2021/4/13,88611,494,防災  
2021/4/13,88541,751,防災  
2021/4/13,88768,834,防災  
2021/4/13,88530,1055,防災  
2021/4/12,88508,38,防災  
2021/4/12,88758,178,防災  
2021/4/12,88532,233,防災  
2021/4/10,88552,15,防災  
2021/4/10,88463,1080,防災  
2021/4/9,88476,45,防災  
2021/4/9,88526,140,防災  
2021/4/9,88528,140,防災  
2021/4/8,88531,1055,防災  
2021/4/7,88550,15,防災  
2021/4/7,88551,15,防災  
2021/4/7,88506,38,防災  
2021/4/7,88474,45,防災  
2021/4/7,88475,45,防災  
2021/4/7,88659,1085,防災  
2021/4/7,88658,1086,防災  
2021/4/6,88660,1084,防災  
2021/4/6,88661,1087,防災  
2021/4/3,88472,45,防災  
2021/4/3,88494,279,電気  
2021/4/2,88557,15,防災  
2021/4/2,88473,45,防災  
2021/4/2,88446,1079,防災  
2021/4/1,88547,15,防災  
2021/4/1,88548,15,防災  
2021/4/1,88535,259,電気  
2021/3/31,88405,15,防災  
2021/3/31,88404,199,防災  
2021/3/31,88391,207,防災  
2021/3/31,88453,259,防災  
2021/3/31,88452,314,防災  
2021/3/31,88402,396,防災  
2021/3/31,88418,419,防災  
2021/3/31,88459,419,防災  
2021/3/31,88439,616,防災  
2021/3/31,88392,652,防災  
2021/3/31,88454,697,防災  
2021/3/31,88450,729,防災  
2021/3/31,88396,751,防災  
2021/3/31,88399,751,防災  
2021/3/31,88400,751,防災  
2021/3/31,88401,751,防災  
2021/3/31,88437,751,防災  
2021/3/31,88445,751,防災  
2021/3/31,88451,751,防災  
2021/3/31,88420,889,防災  
2021/3/31,88465,1010,防災  
2021/3/31,88460,1065,防災  
2021/3/30,88500,578,防災  
2021/3/30,88435,616,防災  
2021/3/30,88438,751,防災  
2021/3/30,88527,764,電気  
2021/3/29,88627,15,防災  
2021/3/29,88492,19,防災  
2021/3/29,88422,141,防災  
2021/3/29,88436,419,防災  
2021/3/29,88397,751,防災  
2021/3/29,88427,1055,電気  
2021/3/27,88470,45,防災  
2021/3/27,88471,45,防災  
2021/3/27,88389,639,防災  
2021/3/27,88390,639,防災  
2021/3/27,88525,663,防災  
2021/3/26,88388,872,防災  
2021/3/26,88403,934,防災  
2021/3/25,88469,45,防災  
2021/3/25,88448,505,防災  
2021/3/25,88522,663,防災  
2021/3/25,88464,1010,防災  
2021/3/24,88387,314,防災  
2021/3/24,88394,751,防災  
2021/3/23,88412,15,防災  
2021/3/23,88513,292,防災  
2021/3/22,88467,45,防災  
2021/3/22,88468,45,防災  
2021/3/22,88496,148,防災  
2021/3/22,88511,494,防災  
2021/3/22,88424,705,防災  
2021/3/20,88407,15,防災  
2021/3/20,88410,15,防災  
2021/3/20,88345,45,防災  
2021/3/20,88383,378,防災  
2021/3/20,88443,751,防災  
2021/3/20,88384,757,防災  
2021/3/20,88367,763,電気  
2021/3/19,88385,35,防災  
2021/3/19,88350,152,防災  
2021/3/18,88408,15,防災  
2021/3/18,88341,264,防災  
2021/3/18,88558,436,防災  
2021/3/17,88336,71,防災  
2021/3/16,88512,392,防災  
2021/3/16,88426,452,防災  
2021/3/16,88334,872,防災  
2021/3/15,88364,36,防災  
2021/3/15,88434,616,防災  
2021/3/14,88381,38,防災  
2021/3/13,88378,38,防災  
2021/3/13,88379,38,防災  
2021/3/13,88382,38,防災  
2021/3/13,88518,578,防災  
2021/3/13,88353,639,防災  
2021/3/13,88354,639,防災  
2021/3/13,88355,639,防災  
2021/3/13,88393,751,防災  
2021/3/12,88413,15,防災  
2021/3/12,88419,673,防災  
2021/3/11,88510,140,防災  
2021/3/11,88351,152,防災  
2021/3/11,88709,762,防災  
2021/3/11,88433,1078,防災  
2021/3/10,88375,279,電気  
2021/3/10,88421,318,電気  
2021/3/10,88349,586,電気  
2021/3/10,88520,1044,防災  
2021/3/9,88343,45,防災  
2021/3/9,88358,546,防災  
2021/3/9,88365,578,防災  
2021/3/8,88363,36,防災  
2021/3/8,88376,38,防災  
2021/3/8,88386,66,防災  
2021/3/8,88440,646,防災  
2021/3/7,88395,751,防災  
2021/3/5,88370,36,防災  
2021/3/5,88362,60,電気  
2021/3/5,88357,546,防災  
2021/3/5,88359,546,防災  
2021/3/4,88423,141,防災  
2021/3/3,88352,152,防災  
2021/3/3,88328,314,防災  
2021/3/3,88398,751,防災  
2021/3/3,88360,762,防災  
2021/3/1,88380,38,防災  
2021/3/1,88368,48,電気  
2021/2/28,88287,15,防災  
2021/2/28,88288,15,防災  
2021/2/28,88300,419,防災  
2021/2/28,88296,439,防災  
2021/2/28,88324,616,防災  
2021/2/28,88309,751,防災  
2021/2/28,88327,889,防災  
2021/2/28,88301,1055,防災  
2021/2/28,88280,1059,防災  
2021/2/28,88281,1071,防災  
2021/2/28,88285,1075,電気  
2021/2/26,88275,207,防災  
2021/2/26,88279,396,防災  
2021/2/26,88366,578,防災  
2021/2/26,88416,697,防災  
2021/2/26,88311,751,防災  
2021/2/25,88361,60,電気  
2021/2/25,88374,96,電気  
2021/2/25,88276,207,防災  
2021/2/25,88277,207,防災  
2021/2/25,88259,505,防災  
2021/2/25,88414,956,防災  
2021/2/24,88290,15,防災  
2021/2/24,88342,45,防災  
2021/2/24,88356,546,防災  
2021/2/22,88291,15,防災  
2021/2/22,88307,419,防災  
2021/2/22,88369,803,防災  
2021/2/22,88318,834,防災  
2021/2/20,88226,45,防災  
2021/2/20,88266,96,防災  
2021/2/20,88204,378,防災  
2021/2/20,88255,546,防災  
2021/2/20,88265,546,防災  
2021/2/19,88223,45,防災  
2021/2/19,88239,152,防災  
2021/2/19,88221,223,防災  
2021/2/19,88310,751,防災  
2021/2/18,88267,38,防災  
2021/2/16,88217,45,防災  
2021/2/16,88218,45,防災  
2021/2/16,88246,98,防災  
2021/2/15,88200,634,防災  
2021/2/15,88201,634,防災  
2021/2/15,88333,634,防災  
2021/2/15,88198,652,防災  
2021/2/13,88215,45,防災  
2021/2/13,88216,45,防災  
2021/2/12,88272,38,防災  
2021/2/12,88199,131,防災  
2021/2/12,88263,198,防災  
2021/2/12,88371,645,防災  
2021/2/12,88304,705,防災  
2021/2/12,88372,707,防災  
2021/2/10,88210,45,防災  
2021/2/10,88212,45,防災  
2021/2/10,88213,45,防災  
2021/2/10,88214,45,防災  
2021/2/10,88321,314,防災  
2021/2/9,88312,751,防災  
2021/2/8,88289,15,防災  
2021/2/8,88247,56,防災  
2021/2/7,88417,506,防災  
2021/2/6,88292,15,防災  
2021/2/6,88442,42,防災  
2021/2/6,88273,173,防災  
2021/2/6,88205,763,電気  
2021/2/5,88348,19,防災  
2021/2/5,88209,45,防災  
2021/2/5,88278,396,防災  
2021/2/5,88308,419,防災  
2021/2/5,88302,437,防災  
2021/2/5,88305,616,防災  
2021/2/5,88252,663,防災  
2021/2/5,88197,1069,防災  
2021/2/4,88313,15,防災  
2021/2/4,88192,71,防災  
2021/2/4,88190,131,防災  
2021/2/4,88323,616,防災  
2021/2/4,88251,781,防災  
2021/2/3,88189,1073,防災  
2021/2/2,88253,663,防災  
2021/1/31,88179,764,電気  
2021/1/31,88152,1009,電気  
2021/1/30,88137,396,防災  
2021/1/30,88160,729,防災  
2021/1/30,88262,1074,防災  
2021/1/29,88208,45,防災  
2021/1/29,88187,112,防災  
2021/1/29,88317,199,防災  
2021/1/29,88177,207,防災  
2021/1/29,88183,326,防災  
2021/1/29,88164,419,防災  
2021/1/29,88166,751,防災  
2021/1/29,88167,751,防災  
2021/1/29,88170,751,防災  
2021/1/29,88171,751,防災  
2021/1/29,88184,751,防災  
2021/1/29,88195,751,防災  
2021/1/29,88176,889,防災  
2021/1/28,88145,15,防災  
2021/1/28,88242,152,防災  
2021/1/28,88132,396,防災  
2021/1/28,88133,396,防災  
2021/1/28,88134,396,防災  
2021/1/28,88135,396,防災  
2021/1/28,88161,419,防災  
2021/1/28,88178,751,防災  
2021/1/28,88158,764,電気  
2021/1/27,88256,132,防災  
2021/1/26,88271,38,防災  
2021/1/26,88254,60,防災  
2021/1/26,88125,267,電気  
2021/1/26,88128,1072,防災  
2021/1/25,88129,438,防災  
2021/1/25,88116,505,防災  
2021/1/25,88148,582,電気  
2021/1/23,88138,15,防災  
2021/1/23,88720,1074,防災  
2021/1/22,88268,38,防災  
2021/1/22,88250,48,防災  
2021/1/22,88243,152,防災  
2021/1/21,88149,141,防災  
2021/1/21,88150,141,防災  
2021/1/21,88238,519,防災  
2021/1/21,88156,853,防災  
2021/1/20,88084,38,防災  
2021/1/20,88120,38,防災  
2021/1/20,88064,45,防災  
2021/1/20,88118,45,防災  
2021/1/20,88119,48,電気  
2021/1/20,88297,65,防災  
2021/1/20,88090,152,防災  
2021/1/20,88114,279,電気  
2021/1/20,88062,378,防災  
2021/1/20,88153,728,防災  
2021/1/20,88104,1070,電気  
2021/1/19,88168,751,防災  
2021/1/19,88097,872,電気  
2021/1/18,88146,15,防災  
2021/1/18,88117,45,防災  
2021/1/18,88159,259,防災  
2021/1/18,88157,616,防災  
2021/1/16,88207,45,防災  
2021/1/16,88174,751,防災  
2021/1/15,88056,314,防災  
2021/1/15,88067,634,電気  
2021/1/15,88151,688,電気  
2021/1/14,88219,42,防災  
2021/1/14,88257,104,電気  
2021/1/14,88230,580,防災  
2021/1/14,88155,657,防災  
2021/1/14,88055,1069,防災  
2021/1/13,88091,48,防災  
2021/1/13,88110,48,防災  
2021/1/13,88172,751,防災  
2021/1/12,88080,60,電気  
2021/1/12,88154,96,防災  
2021/1/12,88100,132,電気  
2021/1/12,88101,132,電気  
2021/1/12,88103,152,防災  
2021/1/12,88050,652,防災  
2021/1/12,88052,920,電気  
2021/1/9,88163,419,防災  
2021/1/8,88141,15,防災  
2021/1/6,88144,15,防災  
2021/1/6,88109,45,防災  
2021/1/6,88162,419,防災  
2021/1/6,88047,819,防災  
