"売上№=masterid,dempyounum",売上日=uriagebi,行№=num,品名=pro,単位=tani,数量=amount,単価=tanka,金額=price,備考=bik
72794,2009/9/2,3,六十谷ビル,式　,1,38000,38000,
72794,2009/9/2,4,貴望ビル,式　,1,41000,41000,
72794,2009/9/2,5,野田テナント,式　,1,8000,8000,
72794,2009/9/2,6,サングレース12番,式　,1,18000,18000,
72794,2009/9/2,7,コーポラス千舟,式　,1,13000,13000,
72773,2009/9/1,1,塩屋小学校,　　,      ,         ,          ,
72773,2009/9/1,2,差動式分布型感知器2種,個　,5,12000,60000,
72773,2009/9/1,3,取替工事費,式　,1,78000,78000,
72773,2009/9/1,4,試験調整費,式　,1,23400,23400,
72773,2009/9/1,5,消耗品雑材費,式　,1,1000,1000,
72773,2009/9/1,6,諸経費,式　,1,24600,24600,
72773,2009/9/1,7,値引き,式　,1,153000,153000,
72774,2009/9/1,1,塩屋小学校耐震補強及び大規模改造工事,式　,1,150000,150000,
72741,2009/8/31,1,店内ｽﾎﾟｯﾄﾗｲﾄ納品,　　,      ,         ,          ,
72741,2009/8/31,2,ﾀﾞｲｸﾛﾊﾛｹﾞﾝ球,個　,2,2100,4200,
72741,2009/8/31,3,ASE940763,台　,2,5880,11760,
72740,2009/8/29,1,リベラルパレス塩屋　避難はしご標示板,　　,2,1200,2400,
72740,2009/8/29,2,交換手数料,式　,2,300,600,
72740,2009/8/29,3,出張料,式　,1,1500,1500,
72795,2009/8/28,1,フォレストボックス１　消防設備点検,式　,1,25600,25600,
72752,2009/8/27,1,8月27日 ﾜｰﾙﾄﾞﾌﾟﾗｻﾞ南海　電球交換,　　,      ,         ,          ,
72752,2009/8/27,2,1階　ｴﾚﾍﾞｰﾀｰ前　ﾎﾞｰﾙ球,個　,3,240,720,
72752,2009/8/27,3,交換費,　　,3,1000,3000,
72753,2009/8/27,1,8月27日　ｴｸﾛｰﾙﾌﾟﾗｻﾞ電球交換,　　,      ,         ,          ,
72753,2009/8/27,2,5階　通路　ｽﾘﾑ球,個　,1,1600,1600,
72753,2009/8/27,3,7階　ｴﾚﾍﾞｰﾀ前　ﾐﾆｸﾘﾌﾟﾄﾝ電球,個　,1,450,450,
72753,2009/8/27,4,交換費,　　,2,1000,2000,
72754,2009/8/27,1,8月27日 パルビル　電球交換,　　,      ,         ,          ,
72754,2009/8/27,2,1F　階段前　ﾋﾞｰﾑﾗﾝﾌﾟ,個　,1,1450,1450,
72754,2009/8/27,3,2階　通路　FL20W ｸﾞﾛｰ球,本　,1,340,340,
72754,2009/8/27,4,2階　階段　ﾐﾆｸﾘﾌﾟﾄﾝ電球,個　,1,450,450,
72754,2009/8/27,5,交換費,　　,3,1000,3000,
72764,2009/8/26,1,和歌山南ﾛｰﾀﾘｰｸﾗﾌﾞ様,　　,      ,         ,          ,
72764,2009/8/26,2,事務所照明増設及び交換工事,式　,1,100000,100000,
72733,2009/8/25,1,ハイツ彩光　標示板はずれ修理,　　,      ,         ,          ,
72733,2009/8/25,2,出張料,式　,1,1500,1500,
72733,2009/8/25,3,手数料,式　,1,300,300,
72793,2009/8/24,1,川辰ビル　感知器増設工事,式　,1,10000,10000,
72762,2009/8/22,1,王子ｺﾝﾃﾅ絶縁改修,式　,1,20000,20000,
72760,2009/8/21,1,松源　貴志川店様,　　,      ,         ,          ,
72760,2009/8/21,2,誤報の為　煙感知器取替,式　,1,15000,15000,
72734,2009/8/20,1,奈良ケーズデンキ調査,式　,1,30000,30000,
72736,2009/8/20,1,八尾ファースト　自火報工事,式　,1,2200000,2200000,
72723,2009/8/20,1,事務所クーラー修理,式　,1,35000,35000,
72732,2009/8/20,1,クーラー取付,式　,1,130000,130000,
72724,2009/8/20,1,コスモ応援,　　,      ,         ,          ,
72724,2009/8/20,2,44398,人員,1,18000,18000,
72724,2009/8/20,3,44399,人員,1,18000,18000,
72724,2009/8/20,4,44400,人員,1,18000,18000,
72724,2009/8/20,5,44401,人員,1,18000,18000,
72724,2009/8/20,6,44402,人員,1,18000,18000,
72724,2009/8/20,7,44404,人員,1,18000,18000,
72724,2009/8/20,8,44405,人員,1,18000,18000,
72724,2009/8/20,9,44406,人員,1,18000,18000,
72724,2009/8/20,10,44407,人員,1,18000,18000,
72724,2009/8/20,11,44411,人員,1,18000,18000,
72724,2009/8/20,12,44412,人員,1,18000,18000,
72724,2009/8/20,13,44413,人員,1,18000,18000,
72724,2009/8/20,14,44414,人員,1,18000,18000,
72724,2009/8/20,15,44415,人員,1,18000,18000,
72724,2009/8/20,16,44416,人員,1,18000,18000,
72724,2009/8/20,17,44417,人員,1,18000,18000,
72724,2009/8/20,18,44418,人員,1,18000,18000,
72724,2009/8/20,19,44419,人員,1,18000,18000,
72724,2009/8/20,20,44420,人員,1,18000,18000,
72724,2009/8/20,21,44421,人員,1,18000,18000,
72724,2009/8/20,22,44426,人員,1,18000,18000,
72724,2009/8/20,23,44427,人員,1,18000,18000,
72724,2009/8/20,24,44428,人員,1,18000,18000,
72720,2009/8/20,1,三菱電機株式会社冷熱システム製作所,　　,      ,         ,          ,
72720,2009/8/20,2,消防設備保守点検に伴う修理,式　,1,450000,450000,
72739,2009/8/20,1,直川小学校　出来高,式　,1,3000000,3000000,
72462,2009/8/20,1,消防点検に伴う修繕,式　,1,229800,229800,
72711,2009/8/20,1,基板　ﾆｯﾀﾝ　PC-1232/KA-3L(2PKO-3L用）,式　,1,31500,31500,
72713,2009/8/20,1,消防設備保守点検9か所,式　,1,300000,300000,
72713,2009/8/20,2,ヨーロピアン六十谷,　　,      ,         ,          ,
72713,2009/8/20,3,サングレース１２番丁,　　,      ,         ,          ,
72713,2009/8/20,4,貴望ビル,　　,      ,         ,          ,
72713,2009/8/20,5,六十谷ビル,　　,      ,         ,          ,
72713,2009/8/20,6,川辰マンション,　　,      ,         ,          ,
72713,2009/8/20,7,ノアールペルル,　　,      ,         ,          ,
72713,2009/8/20,8,野田テナント（神楽野テナント）,　　,      ,         ,          ,
72713,2009/8/20,9,ハウス天満,　　,      ,         ,          ,
72713,2009/8/20,10,コーポラス千舟,　　,      ,         ,          ,
72719,2009/8/20,1,下津行政局庁舎建設（電気設備）工事,　　,      ,         ,          ,
72719,2009/8/20,2,出来高　10％分,式　,1,1100000,1100000,
72730,2009/8/20,1,きのくにアバローム様　消防設備保守点検,　　,      ,         ,          ,
72730,2009/8/20,2,8月（第５回）,　　,1,44445,44445,
72715,2009/8/20,1,やすらぎの郷メゾンドシンフォニー新築工事,　　,      ,         ,          ,
72715,2009/8/20,2,（消防設備）出来高,式　,1,6500000,6500000,
72701,2009/8/19,1,シティハイツアルム　消防設備点検,式　,1,39240,39240,
72701,2009/8/19,2,メゾンサンティパーク　消防設備点検,式　,1,27200,27200,
72701,2009/8/19,3,グリーンフル狐島　消防設備点検,式　,1,39840,39840,
72701,2009/8/19,4,ﾌﾟﾚｼﾞｰﾙ狐島Ａ・Ｂ棟 消防設備点検,式　,1,12200,12200,
72701,2009/8/19,5,近江マンション南・北棟　消防設備点検,式　,1,25400,25400,
72701,2009/8/19,6,ﾎﾜｲﾄﾌｪｱﾘｰ野上　消防設備点検,式　,1,48360,48360,
72708,2009/8/19,1,消火器　ABC10型 （古久保様ご依頼分）,本　,1,4000,4000,
72731,2009/8/12,1,ポンプ圧力スイッチ（松田様扱い）,　　,1,12000,12000,
72693,2009/8/12,1,グリーンヒル船木,　　,      ,         ,          ,
72693,2009/8/12,2,標示板,枚　,1,1200,1200,
72693,2009/8/12,3,交換手数料,式　,1,300,300,
72693,2009/8/12,4,出張料,式　,1,1500,1500,
72694,2009/8/12,1,リプルス浜の宮,　　,      ,         ,          ,
72694,2009/8/12,2,消火器　ABC4型,本　,1,3800,3800,
72694,2009/8/12,3,同上処分費,本　,1,600,600,
72695,2009/8/12,1,サンシャイン八幡前,　　,      ,         ,          ,
72695,2009/8/12,2,消火器　ABC4型,本　,1,3800,3800,
72695,2009/8/12,3,同上処分費,式　,1,600,600,
72690,2009/8/12,1,井戸ポンプ用電源引込工事,式　,1,20000,20000,
72726,2009/8/11,1,8月11日 ﾜｰﾙﾄﾞﾌﾟﾗｻﾞ南海　電球交換,　　,      ,         ,          ,
72726,2009/8/11,2,5階　階段　ﾐﾆｸﾘﾌﾟﾄﾝ電球,個　,1,450,450,
72726,2009/8/11,3,4階　ｴﾚﾍﾞｰﾀｰ前　ﾎﾞｰﾙ球,個　,1,240,240,
72726,2009/8/11,4,交換費,　　,2,1000,2000,
72727,2009/8/11,1,8月11日 パルビル　電球交換,　　,      ,         ,          ,
72727,2009/8/11,2,3 階　FL20W ｸﾞﾛｰ球,本　,1,340,340,
72727,2009/8/11,3,交換費,　　,1,1000,1000,
72728,2009/8/11,1,8月11日　ダイヤモンドプラザ電球等交換,　　,      ,         ,          ,
72728,2009/8/11,2,5階　階段　普通電球,個　,1,180,180,
72728,2009/8/11,3,2階　階段　普通電球,個　,1,180,180,
72728,2009/8/11,4,2 階　FL20W ｸﾞﾛｰ球,本　,1,340,340,
72728,2009/8/11,5,交換費,　　,3,1000,3000,
72687,2009/8/10,1,光電式ｽﾎﾟｯﾄ型煙感知器（ﾍﾞｰｽ共） 2KH3,個　,1,10000,10000,
72705,2009/8/10,1,有田南病院　増設工事,式　,1,15000,15000,
72703,2009/8/10,1,三菱電機株式会社冷熱ｼｽﾃﾑ製作所,　　,      ,         ,          ,
72703,2009/8/10,2,第7工場撤去,式　,1,500000,500000,
72791,2009/8/10,1,和歌山センター工事,式　,1,430000,430000,
73262,2009/8/10,1,消防設備保守点検,式　,1,154089,154089,
72686,2009/8/8,1,セジュール木下　住宅用火災警報器取付,台　,12,1000,12000,
72685,2009/8/6,1,国土建設　消防設備保守点検,式　,1,40000,40000,
72685,2009/8/6,2,ｴｸｼｰﾄﾞ中島　消防設備保守点検,式　,1,40000,40000,
72685,2009/8/6,3,ｴｸｼｰﾄﾞ中島　消防設備保守点検に伴う修理,式　,1,10700,10700,
72704,2009/8/5,1,九鬼ﾊﾂ子様共同住宅（ﾀﾞｲﾜﾊｳｽ）,式　,1,530000,530000,
72712,2009/8/5,1,西川製作所　誤報、調査、修理,式　,1,15000,15000,
72712,2009/8/5,2,定温ｽﾎﾟｯﾄ型感知器,個　,1,1350,1350,
72678,2009/8/5,1,粉末消火器100型　処分費,台　,2,13000,26000,
72678,2009/8/5,2,粉末消火器50型　処分費,台　,1,10000,10000,
72678,2009/8/5,3,泡消火器100型　処分費,台　,1,26000,26000,
72678,2009/8/5,4,炭酸消火器　処分費,台　,1,1500,1500,
72678,2009/8/5,5,熱当番,台　,10,2500,25000,
72682,2009/8/5,1,2階事務所　クーラー洗浄,式　,1,25000,25000,
72676,2009/8/4,1,田辺1・2・3,　　,      ,         ,          ,
72676,2009/8/4,2,消防設備保守点検,式　,1,49000,49000,
72676,2009/8/4,3,防火対象物点検,式　,1,25000,25000,
72677,2009/8/4,1,煙感知器　光電式ｽﾎﾟｯﾄ型　3種,　　,1,8000,8000,
72698,2009/8/4,1,8月4日　ﾜｰﾙﾄﾞﾌﾟﾗｻﾞ南海　電球交換,　　,      ,         ,          ,
72698,2009/8/4,2,5階　階段　ﾐﾆｸﾘﾌﾟﾄﾝ電球,個　,1,450,450,
72698,2009/8/4,3,4階　階段　ﾐﾆｸﾘﾌﾟﾄﾝ電球,個　,1,450,450,
72698,2009/8/4,4,4階　ｴﾚﾍﾞｰﾀｰ前　ﾎﾞｰﾙ球,個　,1,240,240,
72698,2009/8/4,5,3階　階段　ﾐﾆｸﾘﾌﾟﾄﾝ電球,個　,1,450,450,
72698,2009/8/4,6,2階　ｴﾚﾍﾞｰﾀ前　ﾎﾞｰﾙ球,個　,1,240,240,
72698,2009/8/4,7,1階　ｴﾚﾍﾞｰﾀ前　ﾎﾞｰﾙ球,個　,2,240,480,
72698,2009/8/4,8,交換費,　　,7,1000,7000,
72729,2009/8/4,1,8月4日　エクロールプラザ,　　,      ,         ,          ,
72729,2009/8/4,2,7階　廊下　ｽﾘﾑ球,本　,1,1600,1600,
72729,2009/8/4,3,4階　廊下　ｽﾘﾑ球,本　,2,1600,3200,
72729,2009/8/4,4,5階　表示灯ｶﾊﾞｰ,個　,1,1000,1000,
72729,2009/8/4,5,3階　通路　誘導灯球,個　,1,480,480,
72729,2009/8/4,6,交換費,　　,5,1000,5000,
72669,2009/8/3,1,BGF9902　予備電源12V　0.8AH,　　,1,9000,9000,
