"売上№=masterid,dempyounum",行№=num,品名=pro,単位=tani,数量=amount,単価=tanka,金額=price,備考=bik,売上日=uriagebi,
84225,1,フロート弁取替工事                      ,　　,      ,         ,          ,                    ,2018/3/20,
84225,2,フロート弁                              ,個　,1,7250,7250,                    ,2018/3/20,
84225,3,取替工事費                              ,式　,1,9000,9000,                    ,2018/3/20,
84225,4,諸経費                                  ,式　,1,1550,1550,                    ,2018/3/20,
84227,1,火災通報装置連動停止スイッチ取付工事    ,式　,1,88000,88000,3/5・20             ,2018/3/20,
84283,1,火災通報装置　連動停止スイッチ取付工事  ,　　,      ,         ,          ,3/5・20             ,2018/3/20,
84283,2,連動停止スイッチ                        ,個　,1,15000,15000,                    ,2018/3/20,
84283,3,配線材料費                              ,式　,1,3000,3000,                    ,2018/3/20,
84283,4,工事費                                  ,式　,1,25000,25000,                    ,2018/3/20,
84283,5,消防手続立会試験費                      ,式　,1,30000,30000,                    ,2018/3/20,
84283,6,消耗品雑材費                            ,式　,1,1000,1000,                    ,2018/3/20,
84283,7,諸経費                                  ,式　,1,7000,7000,                    ,2018/3/20,
84283,8,値引き                                  ,式　,1,11000,11000,                    ,2018/3/20,
84308,1,123鶴橋店                               ,　　,      ,         ,          ,                    ,2018/3/20,
84308,2,耐火ｸﾛｽｽｸﾘｰﾝ用非常用ﾊﾞｯﾃﾘｰ取替工事      ,式　,1,17000,17000,3月20日,2018/3/20,
84286,1,西和佐小学校                            ,　　,      ,         ,          ,                    ,2018/3/20,
84286,2,感知器増設工事                          ,式　,1,20000,20000,3月21日,2018/3/20,
84290,1,和歌山城天守閣前売店改修工事            ,式　,1,1800000,1800000,11/24～3/19         ,2018/3/19,
84320,1,123田辺店                               ,　　,      ,         ,          ,                    ,2018/3/19,
84320,2,圧力ゲージ(2.5Mpa)                      ,個　,1,6000,6000,3/19お引取          ,2018/3/19,
84275,1,安楽川幼稚園                            ,　　,      ,         ,          ,                    ,2018/3/18,
84275,2,ウォシュレット2台取替工事               ,式　,1,314000,314000,3月18日,2018/3/18,
84278,1,消防設備保守点検                        ,　　,      ,         ,          ,                    ,2018/3/17,
84278,2,木下建設マンション（機器点検）          ,式　,1,40000,40000,3月17日,2018/3/17,
84278,3,地域活動支援センターピア下津(総合点検)  ,式　,1,15000,15000,3月12日,2018/3/17,
84278,4,農産物販売どんどん広場(総合点検)        ,式　,1,30000,30000,3月12日,2018/3/17,
84301,1,安土町センタービル                      ,　　,      ,         ,          ,                    ,2018/3/16,
84301,2,消火ポンプ入替に伴う電源設備工事        ,式　,1,327000,327000,3/1～16             ,2018/3/16,
84259,1,ハイツカワバタ　102号室　居室Ａ         ,　　,      ,         ,          ,3月16日,2018/3/16,
84259,2,住警器(取付費込)                        ,台　,1,3000,3000,                    ,2018/3/16,
84260,1,サンハイツセプテ　106号室               ,　　,      ,         ,          ,3月16日,2018/3/16,
84260,2,住警器(取付費込)                        ,台　,3,3000,9000,                    ,2018/3/16,
84267,1,ワールドプラザ南海　電球交換            ,　　,      ,         ,          ,                    ,2018/3/16,
84267,2,3月16日,　　,      ,         ,          ,                    ,2018/3/16,
84267,3,１階　外灯　ハロゲン球                  ,個　,2,1600,3200,                    ,2018/3/16,
84267,4,１階　廊下　ボール球                    ,個　,2,350,700,                    ,2018/3/16,
84267,5,５階　廊下　ハロゲン球                  ,個　,1,1600,1600,                    ,2018/3/16,
84267,6,取替費                                  ,式　,1,5000,5000,                    ,2018/3/16,
84243,1,消防設備保守点検                        ,　　,      ,         ,          ,                    ,2018/3/16,
84243,2,ひらり（機器点検）                      ,式　,1,45000,45000,3月16日,2018/3/16,
84257,1,ガーデンハイツ田園　110号室             ,　　,      ,         ,          ,3月15日,2018/3/15,
84257,2,住警器(取付費込)                        ,台　,1,3000,3000,                    ,2018/3/15,
84258,1,ニュー三喜マンション　401号室           ,　　,      ,         ,          ,3月15日,2018/3/15,
84258,2,住警器(取付費込)                        ,台　,1,3000,3000,                    ,2018/3/15,
84209,1,多奈川小学校　空調機設置工事            ,　　,      ,         ,          ,                    ,2018/3/15,
84209,2,電気設備工事                            ,式　,1,3450000,3450000,                    ,2018/3/15,
84264,1,多奈川小学校　空調機設置工事            ,　　,      ,         ,          ,                    ,2018/3/15,
84264,2,電気工事費                              ,式　,1,200000,200000,                    ,2018/3/15,
84276,1,タムラビル　消防設備保守点検（機器点検）,式　,1,70000,70000,3月15日,2018/3/15,
84277,1,ナビオミカサ　消防設備保守点検(機器点検),式　,1,70000,70000,3月15日,2018/3/15,
84219,1,ビジネスホテル圭                        ,　　,      ,         ,          ,                    ,2018/3/14,
84219,2,消防設備保守点検後不備改修工事          ,式　,1,40000,40000,3月14日,2018/3/14,
84268,1,中川荘                                  ,　　,      ,         ,          ,3月14日,2018/3/14,
84268,2,消防設備保守点検（総合点検）            ,式　,1,4800,4800,                    ,2018/3/14,
84268,3,消火器10型                              ,本　,1,5700,5700,                    ,2018/3/14,
84268,4,取付金具                                ,個　,1,1500,1500,                    ,2018/3/14,
84268,5,取付費                                  ,式　,1,2000,2000,                    ,2018/3/14,
84279,1,消防設備保守点検                        ,　　,      ,         ,          ,                    ,2018/3/14,
84279,2,オーエース（機器点検）                  ,式　,1,54000,54000,3月14日,2018/3/14,
84217,1,ルフト・ロゼ田尻　Ａ・Ｂ棟              ,　　,      ,         ,          ,3月14日,2018/3/14,
84217,2,粉末ＡＢＣ消火器10型                    ,本　,5,4000,20000,                    ,2018/3/14,
84217,3,消火器設置台                            ,台　,5,1000,5000,                    ,2018/3/14,
84217,4,書類作成及び消防手続立会試験費          ,式　,1,40000,40000,                    ,2018/3/14,
84230,1,道の駅紀の川万葉の里レストラン          ,　　,      ,         ,          ,                    ,2018/3/14,
84230,2,非常警報装置設置工事                    ,式　,1,60000,60000,3/6・14             ,2018/3/14,
84218,1,御坊警察宿舎                            ,　　,      ,         ,          ,                    ,2018/3/13,
84218,2,中継器取替工事(プルボックス取付込)      ,式　,1,32800,32800,3月13日,2018/3/13,
84212,1,南堀江プリメール                        ,　　,      ,         ,          ,                    ,2018/3/13,
84212,2,消防設備工事                            ,式　,1,130000,130000,3/2～13             ,2018/3/13,
84206,1,土間排水トラップ取替                    ,　　,      ,         ,          ,                    ,2018/3/13,
84206,2,排水トラップ                            ,式　,1,2000,2000,                    ,2018/3/13,
84206,3,修理費                                  ,式　,1,5000,5000,                    ,2018/3/13,
84206,4,諸経費                                  ,式　,1,1000,1000,                    ,2018/3/13,
84207,1,空調機点検作業費（エコアイス）          ,式　,1,25000,25000,                    ,2018/3/13,
84204,1,加圧給水ﾎﾟﾝﾌﾟﾕﾆｯﾄ(ｲﾝﾊﾞｰﾀ)FE40A2.2       ,台　,1,290000,290000,                    ,2018/3/13,
84204,2,配管材料                                ,式　,1,50000,50000,                    ,2018/3/13,
84204,3,作業費(作業員3名)                       ,式　,1,150000,150000,                    ,2018/3/13,
84204,4,雑材費(ブロック類他)                    ,式　,1,15000,15000,                    ,2018/3/13,
84204,5,諸経費                                  ,式　,1,15000,15000,                    ,2018/3/13,
84205,1,ＴＯＴＯフラッシュバルブ                ,台　,1,30000,30000,                    ,2018/3/13,
84205,2,同上付属品                              ,式　,1,10000,10000,                    ,2018/3/13,
84205,3,取替費                                  ,式　,1,30000,30000,                    ,2018/3/13,
84205,4,水抜き水張り                            ,式　,1,50000,50000,                    ,2018/3/13,
84205,5,消耗品雑材費                            ,式　,1,20000,20000,                    ,2018/3/13,
84205,6,諸経費                                  ,式　,1,30000,30000,                    ,2018/3/13,
84208,1,エコキュート修理                        ,　　,      ,         ,          ,                    ,2018/3/13,
84208,2,電動混合弁                              ,個　,1,16500,16500,                    ,2018/3/13,
84208,3,技術料                                  ,式　,1,12000,12000,                    ,2018/3/13,
84208,4,出張費                                  ,式　,1,5000,5000,                    ,2018/3/13,
84208,5,諸経費                                  ,式　,1,1500,1500,                    ,2018/3/13,
84226,1,南堀江プレミール                        ,　　,      ,         ,          ,                    ,2018/3/13,
84226,2,定温式ｽﾎﾟｯﾄ型感知器防水                 ,個　,1,1080,1080,                    ,2018/3/13,
84226,3,取替費                                  ,式　,1,2000,2000,                    ,2018/3/13,
84226,4,                                        ,　　,      ,         ,          ,                    ,2018/3/13,
84226,5,粉末ABC消火器10型                       ,本　,1,3800,3800,                    ,2018/3/13,
84226,6,消火器標識板                            ,枚　,1,150,150,                    ,2018/3/13,
84226,7,半埋消火器BOX                           ,台　,1,17500,17500,                    ,2018/3/13,
84226,8,BOX　送料                               ,式　,1,1000,1000,                    ,2018/3/13,
84226,9,                                        ,　　,      ,         ,          ,                    ,2018/3/13,
84226,10,諸経費                                  ,式　,1,1270,1270,                    ,2018/3/13,
84314,1,アピア逆瀬川                            ,　　,      ,         ,          ,                    ,2018/3/13,
84314,2,調査                                    ,式　,1,13000,13000,3月13日,2018/3/13,
84315,1,神戸ポートピアホテル（17階）            ,　　,      ,         ,          ,2/23・3/8           ,2018/3/13,
84315,2,非常放送テスト                          ,式　,1,20000,20000,                    ,2018/3/13,
84315,3,手続立会試験費                          ,式　,1,50000,50000,                    ,2018/3/13,
84361,1,消防設備保守点検                        ,　　,      ,         ,          ,                    ,2018/3/13,
84361,2,ホテルアバローム紀の国（機器点検）      ,式　,1,240000,240000,3月13日,2018/3/13,
84291,1,鴫野保育園                              ,　　,      ,         ,          ,3月12日,2018/3/12,
84291,2,書類作成及び立会試験費                  ,式　,1,50000,50000,                    ,2018/3/12,
84291,3,粉末ABC消火器10型                       ,本　,1,4000,4000,                    ,2018/3/12,
84291,4,消火器設置台                            ,台　,1,1000,1000,                    ,2018/3/12,
84292,1,(仮称)鴫野東Ｍ新築工事                  ,　　,      ,         ,          ,                    ,2018/3/12,
84292,2,書類作成及び立会試験費                  ,式　,1,50000,50000,                    ,2018/3/12,
84292,3,粉末ABC消火器10型                       ,本　,3,4000,12000,                    ,2018/3/12,
84292,4,消火器設置台                            ,台　,3,1000,3000,                    ,2018/3/12,
84399,1,見積番号：230                           ,　　,      ,         ,          ,                    ,2018/3/11,
84399,2,三菱電機体育館消防設備保守点検後改修工事,式　,1,50000,50000,3月11日,2018/3/11,
84304,1,尾高工作所                              ,　　,      ,         ,          ,                    ,2018/3/10,
84304,2,スピーカー増設工事                      ,式　,1,84000,84000,3月10日,2018/3/10,
84242,1,消防設備保守点検                        ,　　,      ,         ,          ,                    ,2018/3/10,
84242,2,ｸﾞﾙｰﾌﾟﾎｰﾑはるすのお家・西吉野(総合点検) ,式　,1,60000,60000,3月10日,2018/3/10,
84309,1,123ファースト八尾店                     ,　　,      ,         ,          ,                    ,2018/3/10,
84309,2,誘導灯球納品                            ,個　,1,2000,2000,3月10日,2018/3/10,
84311,1,ＣＩＴＹ！ＷＡＫＡＹＡＭＡ              ,　　,      ,         ,          ,                    ,2018/3/10,
84311,2,消防設備保守点検後不備改修工事          ,式　,1,77000,77000,3月10日,2018/3/10,
84298,1,りんくうエルガビル                      ,　　,      ,         ,          ,                    ,2018/3/9,
84298,2,シャッター結線・テスト                  ,式　,1,80000,80000,2/28・3/9           ,2018/3/9,
84248,1,ガーデンハイツ田園　207号室             ,　　,      ,         ,          ,3月9日,2018/3/9,
84248,2,住警器(取付費込)                        ,台　,1,3000,3000,                    ,2018/3/9,
84249,1,キューブＮ　Ｂ棟310号室                 ,　　,      ,         ,          ,3月9日,2018/3/9,
84249,2,住警器(取付費込)                        ,台　,1,3000,3000,                    ,2018/3/9,
84341,1,田辺　福祉施設                          ,　　,      ,         ,          ,                    ,2018/3/8,
84341,2,火災通報装置　調査                      ,式　,1,10000,10000,3月8日,2018/3/8,
84280,1,那賀高校                                ,　　,      ,         ,          ,                    ,2018/3/8,
84280,2,感知器2個取替工事（支給品）             ,式　,1,21000,21000,3月8日,2018/3/8,
84228,1,関西空港交通㈱空港運行事業所            ,　　,      ,         ,          ,2/15・3/8           ,2018/3/8,
84228,2,感知器5台移設工事費                     ,式　,1,20000,20000,                    ,2018/3/8,
84228,3,届出作成及び検査立会費                  ,式　,1,30000,30000,                    ,2018/3/8,
84274,1,ひいなの湯                              ,　　,      ,         ,          ,                    ,2018/3/7,
84274,2,受信機・連動操作盤・警報盤等移設工事    ,式　,1,300000,300000,                    ,2018/3/7,
84273,1,介護老人保健施設ローズ                  ,　　,      ,         ,          ,                    ,2018/3/7,
84273,2,火災通報装置連動工事                    ,式　,1,73000,73000,2/24～3/7           ,2018/3/7,
84246,1,グリーンフル堀井                        ,　　,      ,         ,          ,3月6日,2018/3/6,
84246,2,P型2級発信機                            ,台　,3,4300,12900,                    ,2018/3/6,
84246,3,表示灯LED付                             ,個　,3,1600,4800,                    ,2018/3/6,
84246,4,取替費                                  ,式　,1,10000,10000,                    ,2018/3/6,
84246,5,出張費                                  ,式　,1,1500,1500,                    ,2018/3/6,
84263,1,サンライフＦ　201号室                   ,　　,      ,         ,          ,3月6日,2018/3/6,
84263,2,住警器(取付費込)                        ,台　,3,3000,9000,                    ,2018/3/6,
84362,1,和歌山病院                              ,　　,      ,         ,          ,                    ,2018/3/6,
84362,2,防火管理点検（応援）                    ,式　,1,30000,30000,3月6日,2018/3/6,
84220,1,消防設備保守点検                        ,　　,      ,         ,          ,                    ,2018/3/6,
84220,2,桜ヶ丘マンション1号館・2号館(総合点検)  ,式　,1,15000,15000,3月6日,2018/3/6,
84305,1,ヒダカヤ西脇店　非常照明取替工事        ,　　,      ,         ,          ,                    ,2018/3/6,
84305,2,非常照明本体（定価\65600）              ,台　,1,26240,26240,                    ,2018/3/6,
84305,3,取替費                                  ,式　,1,10000,10000,                    ,2018/3/6,
84305,4,諸経費                                  ,式　,1,1760,1760,                    ,2018/3/6,
84216,1,地下1階部　誘導灯取替工事               ,式　,1,95000,95000,3月6日,2018/3/6,
84266,1,ダイヤモンドプラザ　電球交換            ,　　,      ,         ,          ,                    ,2018/3/5,
84266,2,3月5日,　　,      ,         ,          ,                    ,2018/3/5,
84266,3,２階　階段　シリカ球                    ,個　,1,350,350,                    ,2018/3/5,
84266,4,取替費                                  ,式　,1,1000,1000,                    ,2018/3/5,
84261,1,消防設備保守点検（総合点検）            ,式　,1,30000,30000,3月5日,2018/3/5,
84310,1,空港施設㈱ 大阪事業所 運用課　　百瀬様  ,　　,      ,         ,          ,                    ,2018/3/5,
84310,2,加熱試験器　HK-3セット                  ,組　,1,55000,55000,3/5(直送)           ,2018/3/5,
84323,1,123ライト八万店                         ,　　,      ,         ,          ,                    ,2018/3/5,
84323,2,受信機バッテリー取替工事                ,式　,1,40000,40000,3月5日,2018/3/5,
84231,1,グランツ新築工事                        ,　　,      ,         ,          ,                    ,2018/3/4,
84231,2,書類作成及び検査立会（消火器含む）      ,式　,1,80000,80000,2/22消火器納品      ,2018/3/4,
84233,1,株式会社島精機製作所                    ,　　,      ,         ,          ,                    ,2018/3/4,
84233,2,2階食堂天井裏感知器取替工事             ,式　,1,100000,100000,3月4日,2018/3/4,
84247,1,カオスマンション                        ,　　,      ,         ,          ,3月3日,2018/3/3,
84247,2,住警器(取付費込)                        ,台　,9,3000,27000,                    ,2018/3/3,
84239,1,宮前駅前団地・ニューかわなが団地        ,　　,      ,         ,          ,                    ,2018/3/3,
84239,2,城北団地・川永団地                      ,　　,      ,         ,          ,                    ,2018/3/3,
84239,3,消防設備保守点検（機器点検）            ,式　,1,1100000,1100000,                    ,2018/3/3,
84294,1,吉祥寺武蔵野カントリーハイツ改修工事    ,　　,      ,         ,          ,3月2日,2018/3/2,
84294,2,自動火災報知設備工事                    ,式　,1,75000,75000,                    ,2018/3/2,
