ｺｰﾄﾞ,,カナ名,〒,,TEL,FAX,取引先締日=締め日,必着日,取引先入金日＝入金日,回収方法,様,相手先担当１＝担当,連絡先１＝担当連絡先,請求先ｺｰﾄﾞ
14,和歌山県秩父開発公社理事長　原      ,ﾜｶﾔﾏｹﾝﾁﾁ,641-0024,和歌山県和歌浦西二丁目1-22,               ,               ,20,,0,1,2,　　　　　　,               ,
15,泉州防災株式会社                    ,ｾﾝｼｭｳﾎﾞｳ,592-8342,大阪府堺市西区浜寺船尾町西3丁48,072-266-8768   ,               ,31,5,5,1,2,　　　　　　,               ,
16,株式会社泉消防設備                  ,ｲｽﾞﾐｼｮｳﾎ,590-0936,大阪府堺市堺区宿屋町東1丁1-30,072-227-1515   ,               ,20,,20,1,2,　　　　　　,               ,
17,青木産業株式会社                    ,ｱｵｷｻﾝｷﾞｮ,641-0006,和歌山市中島465番地,073-488-4485   ,073-488-4486   ,20,,0,1,2,青木実業　　,               ,
18,株式会社モデルノコーポレーション    ,ﾓﾃﾞﾙﾉ   ,640-8314,和歌山県和歌山市神前156-2,               ,               ,20,,31,1,2,　　　　　　,               ,
19,身体障害者授産施設小倉園            ,ｵｸﾞﾗｴﾝ  ,649-6264,和歌山県和歌山市新庄388-1,               ,               ,20,,0,1,2,　　　　　　,               ,
20,和歌山県知事　仁坂吉伸              ,ﾜｶﾔﾏｹﾝﾁｼ,        ,,               ,               ,31,,0,1,2,　　　　　　,               ,
21,有限会社友里園                      ,ﾕｳﾘｴﾝ   ,649-6205,和歌山県岩出市森236,               ,0736-61-1127   ,20,,31,1,2,　　　　　　,               ,
22,今宮ふれあい地域活動協議会          ,ｲﾏﾐﾔﾌﾚｱｲ,557-0004,大阪市西成区萩之茶屋3-9-10,06-6641-2445   ,               ,31,,0,1,2,　　　　　　,               ,
23,ルネみなと                          ,ﾙﾈﾐﾅﾄ   ,640-8404,和歌山県和歌山市湊1-5,               ,               ,20,,0,1,2,　　　　　　,               ,
24,有限会社宮井電機工業                ,ﾐﾔｲﾃﾞﾝｷｺ,649-6415,和歌山県紀の川市窪43-7,               ,               ,20,,0,1,2,　　　　　　,               ,
25,Y.T防災                             ,ﾜｲﾃｨｰﾎﾞｳ,640-8453,和歌山県和歌山市木ノ本319-1,073-453-7827   ,073-460-4072   ,20,,0,1,2,　　　　　　,               ,
26,有限会社和歌浦電業                  ,ﾜｶｳﾗﾃﾞﾝｷ,641-0035,和歌山県和歌山市関戸4丁目3-81,073-444-5566   ,               ,20,,15,1,2,　　　　　　,               ,
27,有限会社南和酒店                    ,ﾅﾝﾜｻｹﾃﾝ ,640-8002,和歌山県和歌山市北新5-62-1,073-433-4133   ,000000         ,20,,20,2,2,　　　　　　,               ,
28,株式会社ケイズ                      ,ｹｲｽﾞ    ,643-0034,和歌山県有田郡有田川町大字小島433-5,0737-52-7077   ,0737-52-8955   ,31,5,10,1,2,　　　　　　,               ,
29,韓のおしり                          ,ｶﾝﾉｵｼﾘ  ,        ,,               ,               ,20,,0,1,2,　　　　　　,               ,
30,冨岡電気                            ,ﾄﾐｵｶﾃﾞﾝｷ,640-0331,和歌山県和歌山市吉原773-2,073-479-3580   ,               ,20,,10,1,2,　　　　　　,               ,
31,株式会社関西電化サービス            ,ｶﾝｻｲﾃﾞﾝｶ,640-8472,和歌山県和歌山市大谷377-3,073-451-1029   ,               ,20,,0,1,2,　　　　　　,               ,
32,株式会社ＥＫ.ＰＬＡＮＴＥＣ         ,ｴｶﾞﾜﾃﾞﾝｾ,649-0316,和歌山県有田市宮崎町1184-6,0737-85-2722   ,0737-85-2723   ,20,,31,1,2,　　　　　　,               ,
33,株式会社中井建装                    ,ﾅｶｲｹﾝｿｳ ,640-8255,和歌山県和歌山市舟津町3丁目11,               ,               ,20,,31,1,2,　　　　　　,               ,
34,有限会社高田産業                    ,ﾀｶﾀﾞｻﾝｷﾞ,640-0413,和歌山県紀の川市貴志川町神戸496-3,0736-64-6255   ,               ,20,,20,1,2,　　　　　　,               ,
35,株式会社葵消防設備                  ,ｱｵｲｼｮｳﾎﾞ,640-8301,和歌山県和歌山市岩橋1625-1,073-499-8819   ,073-499-8829   ,20,,31,1,2,　　　　　　,               ,
36,有限会社紀州エンジニアリング        ,ｷｼｭｳｴﾝｼﾞ,644-0003,和歌山県御坊市島488-1番地,0738-23-1945   ,0738-22-7398   ,20,,15,1,2,　　　　　　,               ,
37,株式会社阪本電気                    ,ｻｶﾓﾄﾃﾞﾝｷ,644-0013,和歌山県御坊市湯川町丸山905-5,0738-22-7703   ,0738-22-7734   ,20,,10,1,2,　　　　　　,               ,
38,伸和電設株式会社                    ,ｼﾝﾜﾃﾞﾝｾﾂ,644-0013,和歌山県御坊市湯川町丸山814-1,0738232460     ,               ,20,25？,10,1,2,現場ファック,0738-23-1599   ,
39,有限会社マイクリエイト              ,ﾏｲｸﾘｴｲﾄ ,658-0073,兵庫県神戸市東灘区西岡本6丁目5-27-205,               ,               ,31,,31,1,2,　　　　　　,               ,
40,三洋マリン建設株式会社              ,ｻﾝﾖｳﾏﾘﾝｹ,640-8287,和歌山県和歌山市築港5丁目4,073-436-6212   ,073-422-2700   ,25,,31,1,2,　　　　　　,               ,
41,松本電気設備                        ,ﾏﾂﾓﾄﾃﾞﾝｷ,649-7171,和歌山県伊都郡かつらぎ町大字大藪95,               ,               ,20,,31,1,2,　　　　　　,               ,
42,小笠原電気株式会社                  ,ｵｶﾞｻﾜﾗﾃﾞ,643-0855,和歌山県有田郡有田川町大字上中島685-3,0737-52-2037   ,               ,31,,31,1,2,　　　　　　,               ,
43,神野電気                            ,ｶﾐﾉﾃﾞﾝｷ ,640-8452,和歌山県和歌山市梅原179-12,073-453-2509   ,               ,20,,31,1,2,　　　　　　,               ,
44,きのくに子どもＮＰＯ                ,ｷﾉｸﾆNPO ,        ,,               ,               ,31,,0,1,2,ユニオン開発,               ,
45,株式会社アイワライフネット          ,ｱｲﾜﾗｲﾌﾈｯ,640-8331,和歌山県和歌山市美園町5丁目2-5,073-402-3303   ,               ,20,20,10,1,2,　　　　　　,               ,
46,田上電機システム                    ,ﾀﾉｳｴﾃﾞﾝｷ,649-6273,和歌山県和歌山市東田中413,090-1915-3324  ,               ,20,,31,1,2,　　　　　　,               ,
47,ビジネスイン南海                    ,ﾋﾞｼﾞﾈｽｲﾝ,640-8212,和歌山県和歌山市杉の馬場1-27,               ,               ,31,,0,1,2,　　　　　　,               ,
48,有限会社レインボーシステムズ        ,ﾚｲﾝﾎﾞｰｼｽ,640-8063,和歌山県和歌山市西釘貫丁2丁目47,073-422-9000   ,               ,20,25,15,1,2,こうさん　　,9032687320,
49,株式会社堀田組                      ,ﾎｯﾀｸﾞﾐ  ,640-8404,和歌山県和歌山市湊571-2,073-422-8053   ,               ,20,,20,2,2,　　　　　　,               ,
52,岡野　浩充                          ,ｵｶﾉﾋﾛﾐﾂ ,597-0041,大阪府貝塚市清児574,               ,               ,20,,31,1,2,　　　　　　,               ,
53,紀北防災                            ,ｷﾎｸﾎﾞｳｻｲ,649-0316,和歌山県有田市宮崎町2347-33,0737-82-2093   ,               ,20,,31,1,2,洞さん　　　,090-3278-9371  ,
54,有田リサイクルサービス              ,ｱﾘﾀﾞﾘｻｲｸ,643-0801,和歌山県有田郡有田川町徳田1693-1,               ,               ,20,,0,1,2,　　　　　　,               ,
55,ダイオ電気商会                      ,ﾀﾞｲｵﾃﾞﾝｷ,648-0016,和歌山県橋本市隅田町下兵庫765,               ,               ,20,,31,1,2,　　　　　　,               ,
56,　岡本電気                          ,ｵｶﾓﾄﾃﾞﾝｷ,640-8391,和歌山市加納57-5,073-473-7050   ,073-418-6006   ,31,,20,1,2,岡本　眞史　,090-8203-8986  ,
57,南海電設株式会社                    ,ﾅﾝｶｲﾃﾞﾝｾ,644-0031,和歌山県御坊市野口1008-3,               ,               ,20,,0,1,2,　　　　　　,               ,
58,医療法人裕紫会オリオン              ,ｵﾘｵﾝ    ,640-8303,和歌山県和歌山市鳴神123-1,               ,               ,20,,31,1,2,　　　　　　,               ,
59,医療法人裕紫会中谷病院              ,ﾅｶﾔﾋﾞｮｳｲ,640-8303,和歌山県和歌山市鳴神123-1,               ,               ,20,,31,1,2,　　　　　　,               ,
60,有限会社梶本無線商会                ,ｶｼﾞﾓﾄﾑｾﾝ,640-8212,和歌山県和歌山市杉ノ馬場2丁目23,073-423-2172   ,               ,20,,25,2,2,　　　　　　,               ,
61,山本電気株式会社                    ,ﾔﾏﾓﾄﾃﾞﾝｷ,640-8328,和歌山県和歌山市木広町4丁目9-1,073-424-2391   ,               ,20,,20,2,2,　　　　　　,               ,
62,リバーサイドマンション管理組合      ,ﾘﾊﾞｰｻｲﾄﾞ,640-8482,和歌山県和歌山市六十谷86-3,073-462-6694   ,               ,20,,31,1,2,　　　　　　,               ,
63,和歌山県立医科大学附属病院 _　経理課　調達用度班,ｲｶﾀﾞｲｶﾞｸ,641-8510,和歌山県和歌山市紀三井寺811-1,073-447-2300   ,               ,31,,31,1,1,南條輝志男　,               ,
64,社会福祉法人寿敬会 _　養護老人ホーム　和光院,ﾜｺｳｲﾝ   ,649-6325,和歌山県和歌山市下和佐346-1,               ,               ,31,,20,1,2,　　　　　　,               ,
65,崇教真光 紀の川準道場               ,ﾏﾋｶﾘ    ,640-8464,和歌山県和歌山市市小路106,073-451-1207   ,               ,31,,0,2,2,　　　　　　,               ,
66,株式会社宮井組                      ,ﾐﾔｲｸﾞﾐ  ,640-8276,和歌山県和歌山市作事丁13,073-424-4191   ,073-424-4190   ,25,,25,2,2,　　　　　　,               ,
67,株式会社セフティーシステム          ,ｾﾌﾃｨｼｽﾃﾑ,510-0062,三重県四日市市北浜田町6-9,               ,               ,20,,0,1,2,　　　　　　,               ,
69,キツモト電機工業所                  ,ｷﾂﾓﾄﾃﾞﾝｷ,640-1473,和歌山県海草郡紀美野町毛原宮3,073-499-0235   ,               ,20,,0,1,2,　　　　　　,               ,
70,株式会社１ＫＡＲＡ工芸舎            ,ｲﾁｶﾗｺｳｹﾞ,463-0003,愛知県名古屋市守山区下志段味風越1952-1,052-870-3870   ,052-870-3870   ,20,,31,1,2,川昌工務店　,               ,
71,小川電機株式会社　伊都営業所        ,ｵｶﾞﾜｲﾄ  ,649-7121,和歌山県伊都郡かつらぎ町丁ノ町2188-1,               ,               ,15,20,0,1,2,　　　　　　,               ,129
72,生田　豊                            ,ｲｸﾀﾕﾀｶ  ,593-8301,大阪府堺市西区上野芝町3-3,               ,               ,20,,31,1,2,　　　　　　,               ,
73,廣久旅館                            ,ﾋﾛｷｭｳﾘｮｶ,649-0316,和歌山県有田市宮崎町逢井1283,               ,               ,20,,10,1,2,　　　　　　,               ,
74,有限会社三栄運輸                    ,ｻﾝｴｲｳﾝﾕ ,640-0401,和歌山県紀の川市貴志川町丸栖1411-2,               ,               ,20,,31,1,2,　　　　　　,               ,
75,和創中華庵　Baki                    ,ﾊﾞｷ     ,640-8375,和歌山市坊主丁1,073-426-3434   ,               ,31,,0,1,2,　　　　　　,               ,
76,株式会社キンエイクリエイト          ,ｷﾝｴｲｸﾘｴｲ,643-0051,和歌山県有田郡広川町下津木72-1,0737-67-2216   ,0737-67-2752   ,20,,31,1,2,　　　　　　,               ,
77,株式会社関防                        ,ｶﾝﾎﾞｳ   ,640-8403,和歌山県和歌山市北島63-2,073-451-3256   ,073-455-1646   ,20,,31,1,2,　　　　　　,               ,
78,塩地　大                            ,ｼｵｼﾞﾃﾞﾝｷ,649-6321,和歌山県和歌山市布施屋819-5,               ,               ,20,,20,1,1,　　　　　　,               ,
79,林　清二                            ,ﾊﾔｼｱﾊﾟｰﾄ,644-0011,和歌山県御坊市湯川町財部720-1,               ,               ,31,,0,1,1,林アパート　,               ,
80,ドゥ・イマジニア株式会社            ,ﾄﾞｩ･ｲﾏｼﾞ,556-0022,大阪府大阪市浪速区桜川4丁目3-22,06-6567-0011   ,06-6567-6699   ,31,,31,1,2,　　　　　　,               ,
81,株式会社メンテナンス杉山            ,ﾒﾝﾃﾅﾝｽｽｷ,649-6321,和歌山県和歌山市布施屋66-1,               ,               ,20,,31,1,2,　　　　　　,               ,
82,有限会社藤堂水道商会                ,ﾄｳﾄﾞｳｽｲﾄ,642-0011,和歌山県海南市黒江309,               ,               ,20,,10,1,2,　　　　　　,               ,
83,潮風荘                              ,ｼｵｶｾﾞｿｳ ,641-0062,和歌山県和歌山市雑賀崎613-2,073-444-2848   ,073-444-2952   ,20,,0,1,2,　　　　　　,               ,
84,加賀　英樹                          ,ｶｶﾞﾋﾃﾞｷ ,640-0415,和歌山県紀の川市貴志川町長原1037-21,               ,               ,20,,31,1,2,　　　　　　,               ,
85,有限会社フジテック                  ,ﾌｼﾞﾃｯｸ  ,649-6425,和歌山県紀の川市中井阪72-13,               ,               ,20,,31,1,2,　　　　　　,               ,
86,株式会社宮本工業                    ,ﾐﾔﾓﾄｺｳｷﾞ,641-0036,和歌山県和歌山市西浜1660-50,073-441-0033   ,073-441-0003   ,20,,15,2,2,手形＆現金　,               ,
88,関西不動産株式会社                  ,ｶﾝｻｲﾌﾄﾞｳ,553-0003,大阪市福島区福島7丁目3番19号,06-6451-0456   ,               ,31,,0,1,2,　　　　　　,               ,
89,ハイテック製作所                    ,ﾊｲﾃｯｸ   ,649-6324,和歌山県和歌山市祢宜70,073-488-5719   ,073-488-5720   ,31,,0,1,2,岸田代表　　,070-2152-8874  ,
90,株式会社カワゾエ                    ,ｶﾜｿﾞｴ   ,252-0334,神奈川県相模原市南区若松3-47-15,042-744-3145   ,042-744-3134   ,20,,0,1,2,湯浅　　　　,               ,
91,力土建有限会社                      ,ﾁｶﾗﾄﾞｹﾝ ,640-8312,和歌山県和歌山市森小手穂75-4,073-473-9222   ,               ,31,,0,1,2,　　　　　　,               ,
93,民宿　金波                          ,ｷﾝﾊﾟ    ,        ,,               ,               ,31,,0,1,2,　　　　　　,               ,
94,株式会社サクシードイン              ,ｻｸｼｰﾄﾞｲﾝ,586-0001,大阪府河内長野市木戸3丁目29-16,0721-81-7992   ,0721-81-7993   ,31,,0,1,2,　　　　　　,               ,
96,医療法人光明会　はしもと整形外科    ,ﾊｼﾓﾄｾｲｹｲ,649-6231,和歌山県岩出市川尻53-1,0736-69-1117   ,               ,31,,0,1,2,　　　　　　,               ,
97,阪和郵便輸送株式会社                ,ﾊﾝﾜﾕﾋﾞﾝﾕ,641-0012,和歌山市紀三井寺742-11,073-447-3200   ,               ,31,,0,1,2,　　　　　　,               ,
98,古川電設株式会社                    ,ﾌﾙｶﾜﾃﾞﾝｾ,643-0024,和歌山県有田郡有田川町大字水尻1127-3,0737-52-8070   ,               ,20,,0,1,2,　　　　　　,               ,
99,トーシン補聴器センター和歌山        ,ﾄｰｼﾝﾎﾁｮｳ,640-8232,和歌山県和歌山市南汀丁13番地_井上ビル1階,073-423-4133   ,073-433-3139   ,31,,0,1,2,　　　　　　,               ,
100,西本倉庫                            ,ﾆｼﾓﾄｿｳｺ ,649-6325,和歌山市下和佐24番地,073-477-1406   ,               ,31,,0,1,2,　　　　　　,               ,
101,小川電機株式会社　高田営業所        ,ｵｶﾞﾜﾀｶﾀﾞ,635-0057,奈良県大和高田市南陽町13-26,               ,               ,15,20,10,1,2,　　　　　　,               ,129
104,社会福祉法人こうま会 _　安楽川保育園,ｱﾗｶﾜﾎｲｸｴ,649-6122,和歌山県紀の川市桃山町386-1,0736-66-0531   ,0736-66-4121   ,31,,0,1,2,　　　　　　,               ,
105,株式会社中村工業                    ,ﾅｶﾑﾗｺｳｷﾞ,642-0032,和歌山県海南市名高450番地,073-482-2771   ,073-482-2893   ,31,,0,1,2,中村充利　　,090-3727-0835  ,
106,マルマンビル                        ,ﾏﾙﾏﾝﾋﾞﾙ ,        ,,               ,               ,31,,0,1,2,　　　　　　,               ,
107,ヒダカヤ＆業務スーパー海南店        ,ﾋﾀﾞｶﾔｶｲﾅ,642-0022,和歌山県海南市大野中464,073-484-3131   ,073-484-3132   ,31,,0,1,2,　　　　　　,               ,
108,ヒダカヤ＆業務スーパー貴志川店      ,ﾋﾀﾞｶﾔｷｼｶ,640-0413,和歌山県紀の川市貴志川町神戸353-1,0736-64-7822   ,0736-64-7823   ,31,,0,1,2,　　　　　　,               ,
109,　　宮井                            ,ﾐﾔｲｻﾏ   ,        ,,               ,               ,31,,0,1,1,　　　　　　,               ,
110,株式会社真田堀家守舎                ,ｻﾅﾀﾞﾎﾞﾘ ,641-0012,和歌山市紀三井寺791番地2,               ,               ,31,,0,1,2,坂東　　　　,9022308497,
111,古川電設株式会社                    ,ﾌﾙｶﾜﾃﾞﾝｾ,640-8304,和歌山市松島347-4,073-471-7755   ,073-471-7740   ,20,,0,1,2,　　　　　　,               ,
112,積水ハウス不動産関西株式会社        ,ｾｷﾜﾌﾄﾞｳｻ,640-8323,和歌山県和歌山市太田４丁目５-５,               ,               ,31,,20,1,2,　　　　　　,               ,
113,美松電気株式会社                    ,ﾐﾏﾂﾃﾞﾝｷ ,520-3235,滋賀県湖南市平松北二丁目3番地,0748-72-3240   ,0748-72-5000   ,15,,15,,2,　　　　　　,               ,
114,コーポ小野町                        ,ｺｰﾎﾟｵﾉﾏﾁ,        ,,               ,               ,0,,0,1,2,　　　　　　,               ,
115,ミヤイ電設株式会社                  ,ﾐﾔｲﾃﾞﾝｾﾂ,641-0036,和歌山県和歌山市西浜897-16,073-444-2568   ,               ,20,,0,1,2,　　　　　　,               ,
116,伊勢屋ビル                          ,ｲｾﾔﾋﾞﾙ  ,640-8323,和歌山県和歌山市太田373-5,               ,               ,31,,31,1,2,まえだかずこ,9056728453,
117,乙井電気工事                        ,ｵﾂｲﾃﾞﾝｷ ,649-0435,和歌山県有田市宮原町滝川原382,0737-88-7400   ,               ,20,,20,1,2,　　　　　　,               ,
118,株式会社たけでん _有田営業所,ﾀｹﾃﾞﾝｱﾘﾀ,649-0311,和歌山県有田市辻堂836-2,0737-85-0600   ,               ,31,,0,1,2,　　　　　　,               ,124
119,株式会社タスト                      ,ﾀｽﾄ     ,643-0055,和歌山県有田郡広川町井関811-1,0737-64-1900   ,               ,20,,0,1,2,　　　　　　,               ,
120,柳生設備株式会社                    ,ﾔｷﾞｭｳｾﾂﾋ,530-0054,大阪府大阪市北区南森町2丁目4-32,06-6315-7419   ,06-6314-3745   ,31,,31,,2,　　　　　　,               ,
121,大和不動建設株式会社                ,ﾀﾞｲﾜﾌﾄﾞｳ,637-0035,奈良県五條市霊安寺町2175-4,0747-23-1345   ,               ,20,,0,1,2,　　　　　　,               ,
122,山植ビル                            ,ﾔﾏｳｴﾋﾞﾙ ,        ,,               ,               ,31,,0,1,2,　　　　　　,               ,
124,株式会社たけでん _商品部,ﾀｹﾃﾞﾝｼｮｳ,535-0011,大阪市旭区今市1丁目14番9号,06-6954-7600   ,06-6954-0412   ,31,,0,1,2,商品統括部　,               ,
125,株式会社　ロンドンコーポレーション  ,ﾛﾝﾄﾞﾝｺｰﾎ,640-8301,和歌山県和歌山市岩橋981-1,               ,               ,31,,25,1,2,　　　　　　,               ,
126,株式会社狩谷電気店                  ,ｶﾘﾔﾃﾞﾝｷ ,649-1341,和歌山県御坊市藤田町藤井2121,0738-22-0835   ,               ,20,,10,1,2,　　　　　　,               ,
127,三立商事株式会社                    ,ｻﾝﾘﾂｼｮｳｼ,641-0036,和歌山県和歌山市西浜891-1,073-445-7878   ,073-445-7812   ,20,,0,1,2,　　　　　　,               ,
128,小川電機株式会社　御坊営業所        ,ｵｶﾞﾜｺﾞﾎﾞ,644-0011,和歌山県御坊市湯川町財部321-13,0738-24-1020   ,               ,15,20,0,1,2,　　　　　　,               ,129
129,小川電機株式会社                    ,ｵｶﾞﾜﾃﾞﾝｷ,545-0021,大阪市阿倍野区阪南町2丁目2番4号,06-6621-0031   ,               ,15,20,10,1,2,　　　　　　,               ,
130,小川電機株式会社　有田営業所        ,ｵｶﾞﾜｱﾘﾀﾞ,643-0024,和歌山県有田郡有田川町大字水尻72-1,0737-52-6371   ,               ,15,20,10,1,2,　　　　　　,               ,129
131,小川電機株式会社　和歌山営業所      ,ｵｶﾞﾜﾜｶﾔﾏ,640-8399,和歌山県和歌山市畑屋敷兵庫ノ丁3番地,073-431-8351   ,               ,15,20,0,1,2,　　　　　　,               ,129
132,大橋建具店                          ,ｵｵﾊｼﾀﾃｸﾞ,640-8392,和歌山県和歌山市中之島1800,073-422-9093   ,073-433-1649   ,20,,0,1,2,　　　　　　,               ,
133,大和計装株式会社                    ,ﾀﾞｲﾜｹｲｿｳ,578-0965,大阪府東大阪市本庄西2丁目2番3号,06-6748-3467   ,06-6748-3468   ,31,,25,1,2,　　　　　　,               ,
134,日本ビルサービス株式会社            ,ﾆﾎﾝﾋﾞﾙｻｰ,542-0083,大阪府大阪市中央区東心斎橋_1丁目6-27,06-4704-4455   ,               ,20,,0,1,2,浅野　　　　,               ,
135,天理教　箕島分教会                  ,ﾃﾝﾘｷｮｳ  ,640-8142,和歌山県和歌山市三番丁71,073-422-0197   ,               ,20,,20,2,2,　　　　　　,               ,
137,武村工芸株式会社                    ,ﾀｹﾑﾗｺｳｹﾞ,641-0007,和歌山県和歌山市小雑賀289,073-425-1772   ,               ,20,,0,1,2,　　　　　　,               ,
138,北畑不動産株式会社                  ,ｷﾀﾊﾞﾀﾌﾄﾞ,643-0034,和歌山県有田郡有田川町小島433-5,0737-52-7000   ,0737-52-7123   ,20,,10,1,2,　　　　　　,               ,
139,おむすびの味里                      ,ﾐｻﾄ     ,640-8401,和歌山県和歌山市福島694-3,073-455-3330   ,073-455-6056   ,20,,0,1,2,　　　　　　,9015817618,
140,有限会社三笠屋                      ,ﾐｶｻﾔ    ,642-0032,和歌山県海南市名高531-1,073-483-8505   ,               ,20,,0,1,2,　　　　　　,               ,
141,株式会社オーティーエル              ,ｵｰﾃｨｰｴﾙ ,591-8036,大阪府堺市北区百舌鳥本町3-4-4,072-255-8590   ,072-255-8591   ,31,,31,1,2,　　　　　　,               ,
142,有限会社和歌山防火協会              ,ﾎﾞｳｶｷｮｳｶ,640-8333,和歌山県和歌山市蔵小路16,073-424-6191   ,               ,20,,0,1,2,　　　　　　,               ,
143,和歌山リコー株式会社                ,ﾘｺｰ     ,640-8341,和歌山県和歌山市黒田39-2,073-476-1060   ,               ,20,,0,1,2,　　　　　　,               ,
144,和綿株式会社                        ,ﾜﾒﾝ     ,640-8395,和歌山県和歌山市畑屋敷中ノ丁5,073-422-3125   ,073-422-3127   ,31,5,0,1,2,　　　　　　,               ,
146,株式会社 シュテルン和歌山           ,ｼｭﾃﾙﾝ   ,641-0014,和歌山県和歌山市毛見1535番地5,073-445-5556   ,073-445-3339   ,20,,31,1,2,　　　　　　,               ,
147,花酒                                ,ﾊﾅｻｹ    ,640-8395,和歌山県和歌山市畑屋敷中ノ丁9_ﾙｰｾﾝﾄ畑屋敷2階1号,073-425-4035   ,               ,20,,0,1,2,　　　　　　,               ,
148,坂田電工                            ,ｻｶﾀﾃﾞﾝｺｳ,640-8305,和歌山県和歌山市栗栖628,073-472-3512   ,073-473-8334   ,20,,0,1,2,　　　　　　,               ,
149,天海                                ,ﾃﾝｶｲ    ,640-8394,和歌山県和歌山市畑屋敷千体仏丁16,073-436-2901   ,               ,31,,31,1,2,　　　　　　,               ,
150,ファースト                          ,ﾌｧｰｽﾄ   ,640-8481,和歌山県和歌山市直川556-1,               ,073-464-5090   ,31,,25,1,2,　　　　　　,               ,
151,大平電気                            ,ｵｵﾋﾗﾃﾞﾝｷ,643-0055,和歌山県有田郡広川町井関791,0737-62-4904   ,               ,20,,0,1,2,　　　　　　,               ,
152,有限会社いわでん                    ,ｲﾜﾃﾞﾝ   ,649-6234,和歌山県岩出市高瀬148,0736-62-6645   ,0736-62-9719   ,20,25,31,1,2,　　　　　　,               ,
153,シラガミ設備                        ,ｼﾗｶﾞﾐｾﾂﾋ,640-8435,和歌山県和歌山市古屋2-15,073-452-4526   ,               ,20,,0,1,2,　　　　　　,               ,
156,株式会社たけでん _紀北営業所,ﾀｹﾃﾞﾝｷﾎｸ,649-6623,和歌山県紀の川市藤崎264-1,0736-75-3188   ,0736-75-2464   ,31,,0,1,2,　　　　　　,               ,124
157,ビジネスホテルカンヌ海南            ,ｶﾝﾇｶｲﾅﾝ ,642-0032,和歌山県海南市名高534-10,073-483-6794   ,               ,20,,10,2,2,朱ビルと同じ,               ,
159,国主自治区 _区長　福本信一,ｸﾆｼｭ    ,640-0414,和歌山県紀の川市貴志川町国主153-9,               ,               ,31,,0,1,1,　　　　　　,               ,
160,　　　　　　　　中口                ,ﾅｶｸﾞﾁ   ,640-8286,和歌山県和歌山市湊御殿2丁目7-13_エクセルマンション５０３号,               ,               ,20,,0,1,1,　　　　　　,               ,
163,和田胃腸科内科                      ,        ,640-8314,和歌山県和歌山市神前126-3,               ,               ,20,,31,1,2,　　　　　　,               ,
164,株式会社太陽プランニング            ,ﾀｲﾖｳﾌﾟﾗﾝ,242-0007,神奈川県大和市中央林間1-11-4,046-275-8136   ,               ,25,,31,1,2,　　　　　　,               ,
166,和田皮膚科                          ,        ,640-831 ,和歌山県和歌山市神前126-3,               ,               ,20,,31,1,2,　　　　　　,               ,
167,建築工房アドミック                  ,ｱﾄﾞﾐｯｸ  ,640-8323,和歌山県和歌山市太田3丁目1-20_鈴木ビル3階,073-472-1538   ,073-472-1587   ,31,,31,2,2,奥様　　　　,090-3622-1525  ,
168,株式会社山本二三男電気商会          ,ﾔﾏﾓﾄﾃﾞﾝｷ,640-8136,和歌山県和歌山市堀止東2丁目3-18,073-423-7621   ,               ,20,,31,1,2,　　　　　　,               ,
169,合同会社　一歩 _サポートセンターはま風,ﾊﾏｶｾﾞ   ,660-0893,兵庫県尼崎市西難波町2丁目28-12,               ,               ,31,,0,1,2,安達様　　　,8065371515,
