売上№,売上日,行№,品名,単位,数量,単価,金額,備考,得意先ｺｰﾄﾞ
88833,2021/7/31,14,エバグリーン田辺元町店（総合点検）     ,式　,1,24000,24000,7月27日,419
88833,2021/7/31,15,㈱廣岡本部（総合点検）                 ,式　,1,24000,24000,〃                 ,419
88833,2021/7/31,16,ネックス岩出中迫店（総合点検）         ,式　,1,48000,48000,7月29日,419
88833,2021/7/31,17,〃　　　（防火対象物点検）             ,式　,1,48000,48000,〃                 ,419
88833,2021/7/31,18,ライラックビル（総合点検）             ,式　,1,20000,20000,7月30日,419
88841,2021/7/31,1,消防設備保守点検                       ,　　,     ,        ,         ,                   ,430
88841,2021/7/31,2,和綿ビル（総合点検）                   ,式　,1,25000,25000,7月13日,430
88841,2021/7/31,3,新工場・旧工場（総合点検）             ,式　,1,25000,25000,〃                 ,430
88840,2021/7/31,1,避難梯子設置工事                       ,式　,1,99500,99500,                   ,439
88832,2021/7/31,1,消防設備保守点検                       ,　　,     ,        ,         ,                   ,729
88832,2021/7/31,2,エバグリーン桜井店（機器点検）         ,式　,1,24000,24000,7月8日,729
88832,2021/7/31,3,エバグリーン橿原膳夫店（総合点検）     ,式　,1,48000,48000,7月9日,729
88832,2021/7/31,4,〃　　　（防火対象物点検）             ,式　,1,48000,48000,〃                 ,729
88832,2021/7/31,5,エバグリーン岸和田久米田店（機器点検） ,式　,1,24000,24000,7月21日,729
88869,2021/7/31,1,123+N羽曳野店                          ,　　,     ,        ,         ,                   ,751
88869,2021/7/31,2,消火設備工事                           ,式　,1,700000,700000,                   ,751
88869,2021/7/31,3,消防設備工事                           ,式　,1,260000,260000,                   ,751
88874,2021/7/31,1,消防設備保守点検                       ,　　,     ,        ,         ,                   ,751
88874,2021/7/31,2,123+Ｎ大阪本店（防火設備検査）         ,式　,1,179000,179000,6/1・2             ,751
88874,2021/7/31,3,永楽福祉会5物件（総合点検）            ,式　,1,160000,160000,6/29・30           ,751
88874,2021/7/31,4,〃　　　（防火対象物点検）             ,式　,1,80000,80000,〃                 ,751
88874,2021/7/31,5,延羽の湯　鶴橋店（総合点検）           ,式　,1,90000,90000,6月30日,751
88874,2021/7/31,6,〃　　　（防火対象物点検）             ,式　,1,40000,40000,〃                 ,751
88874,2021/7/31,7,MEGAドン.キホーテ次郎丸店（総合点検）  ,式　,1,55000,55000,7月1日,751
88874,2021/7/31,8,123和歌山インター店（機器点検）        ,式　,1,100000,100000,7月5日,751
88874,2021/7/31,9,123交野店・駐車場（総合点検）          ,式　,1,80000,80000,〃                 ,751
88874,2021/7/31,10,〃　　　（防火対象物点検）             ,式　,1,40000,40000,〃                 ,751
88874,2021/7/31,11,123鶴橋店・社員寮（機器点検）          ,式　,1,160000,160000,7/6・7             ,751
88874,2021/7/31,12,ナンカイ工業　本社（総合点検）         ,式　,1,70000,70000,7/19・21           ,751
88874,2021/7/31,13,ナンカイ工業　貝塚工場（総合点検）     ,式　,1,80000,80000,〃                 ,751
88873,2021/7/31,1,グリーンシャポービル                   ,　　,     ,        ,         ,                   ,1059
88873,2021/7/31,2,消防設備保守点検(総合点検)             ,式　,1,390000,390000,                   ,1059
88873,2021/7/31,3,〃　　　(防火対象物点検)               ,式　,1,60000,60000,                   ,1059
88834,2021/7/30,1,紀伊てまり苑                           ,　　,     ,        ,         ,                   ,419
88834,2021/7/30,2,日立簡易院圧装置取付工事               ,式　,1,787000,787000,7月30日,419
88870,2021/7/30,1,123南昭和店                            ,　　,     ,        ,         ,                   ,751
88870,2021/7/30,2,消火設備改修工事                       ,式　,1,8200000,8200000,                   ,751
88861,2021/7/30,1,グリーンシャポービル                   ,　　,     ,        ,         ,                   ,1059
88861,2021/7/30,2,3階テナント消防設備工事                ,　　,     ,        ,         ,5/22～7/13         ,1059
88861,2021/7/30,3,自動火災報知設備工事                   ,　　,     ,        ,         ,〃                 ,1059
88861,2021/7/30,4,差動式スポット型感知器2種(既設品)      ,個　,1,        ,         ,〃                 ,1059
88861,2021/7/30,5,差動式スポット型感知器2種              ,個　,7,1895,13265,〃                 ,1059
88861,2021/7/30,6,光電式スポット型感知器2種              ,個　,1,11045,11045,〃                 ,1059
88861,2021/7/30,7,電線AE0.9-4C                           ,ｍ　,45,40,1800,〃                 ,1059
88861,2021/7/30,8,同上付属品                             ,式　,1,10000,10000,〃                 ,1059
88861,2021/7/30,9,工事費                                 ,式　,1,70000,70000,〃                 ,1059
88861,2021/7/30,10,試験調整費                             ,式　,1,30000,30000,〃                 ,1059
88861,2021/7/30,11,消耗品雑材費                           ,式　,1,10000,10000,〃                 ,1059
88861,2021/7/30,12,                                       ,　　,     ,        ,         ,                   ,1059
88861,2021/7/30,13,非常放送設備工事                       ,　　,     ,        ,         ,5/22～7/13         ,1059
88861,2021/7/30,14,スピーカー                             ,台　,10,4500,45000,〃                 ,1059
88861,2021/7/30,15,配線HP1.2-3C                           ,ｍ　,70,65,4550,〃                 ,1059
88861,2021/7/30,16,同上付属品                             ,式　,1,15000,15000,〃                 ,1059
88861,2021/7/30,17,工事費                                 ,式　,1,80000,80000,〃                 ,1059
88861,2021/7/30,18,試験調整費                             ,式　,1,30000,30000,〃                 ,1059
88861,2021/7/30,19,消耗品雑材費                           ,式　,1,10000,10000,〃                 ,1059
88861,2021/7/30,20,                                       ,　　,     ,        ,         ,                   ,1059
88861,2021/7/30,21,スプリンクラー設備工事                 ,　　,     ,        ,         ,5/22～7/13         ,1059
88861,2021/7/30,22,スプリンクラーヘッド(既設品移設)       ,個　,6,        ,         ,〃                 ,1059
88861,2021/7/30,23,スプリンクラーヘッド                   ,個　,7,1500,10500,〃                 ,1059
88861,2021/7/30,24,スプリンクラー用フレキ                 ,本　,13,4500,58500,〃                 ,1059
88861,2021/7/30,25,配管SGP50A                             ,本　,3,7800,23400,〃                 ,1059
88861,2021/7/30,26,マジックジョイント80×50               ,台　,1,85000,85000,〃                 ,1059
88861,2021/7/30,27,同上付属品                             ,式　,1,45000,45000,〃                 ,1059
88861,2021/7/30,28,工事費                                 ,式　,1,200000,200000,〃                 ,1059
88861,2021/7/30,29,試験調整費                             ,式　,1,30000,30000,〃                 ,1059
88861,2021/7/30,30,消耗品雑材費                           ,式　,1,20000,20000,〃                 ,1059
88861,2021/7/30,31,                                       ,　　,     ,        ,         ,                   ,1059
88861,2021/7/30,32,誘導灯設備                             ,　　,     ,        ,         ,5/22～7/13         ,1059
88861,2021/7/30,33,誘導灯避難口　C級                      ,台　,1,15425,15425,〃                 ,1059
88861,2021/7/30,34,誘導灯通路　C級                        ,台　,1,17100,17100,〃                 ,1059
88861,2021/7/30,35,配線VVF2.0-2C                          ,ｍ　,20,90,1800,〃                 ,1059
88861,2021/7/30,36,同上付属品                             ,式　,1,5000,5000,〃                 ,1059
88861,2021/7/30,37,工事費                                 ,式　,1,50000,50000,〃                 ,1059
88861,2021/7/30,38,消耗品雑材費                           ,式　,1,3000,3000,〃                 ,1059
88861,2021/7/30,39,                                       ,　　,     ,        ,         ,                   ,1059
88861,2021/7/30,40,消防届出作成立会試験費                 ,式　,1,120000,120000,5/22～7/13         ,1059
88861,2021/7/30,41,諸経費                                 ,式　,1,101615,101615,〃                 ,1059
88872,2021/7/30,1,グリーンシャポービル                   ,　　,     ,        ,         ,                   ,1059
88872,2021/7/30,2,601テナント消防設備工事                ,　　,     ,        ,         ,                   ,1059
88872,2021/7/30,3,非常放送設備工事                       ,　　,     ,        ,         ,7/5～7/30          ,1059
88872,2021/7/30,4,スピーカー                             ,台　,5,4500,22500,〃                 ,1059
88872,2021/7/30,5,配線HP1.2-3C                           ,ｍ　,40,65,2600,〃                 ,1059
88872,2021/7/30,6,同上付属品                             ,式　,1,7500,7500,〃                 ,1059
88872,2021/7/30,7,工事費                                 ,式　,1,55000,55000,〃                 ,1059
88872,2021/7/30,8,試験調整費                             ,式　,1,30000,30000,〃                 ,1059
88872,2021/7/30,9,消耗品雑材費                           ,式　,1,5000,5000,〃                 ,1059
88872,2021/7/30,10,                                       ,　　,     ,        ,         ,                   ,1059
88872,2021/7/30,11,誘導灯設備工事                         ,　　,     ,        ,         ,                   ,1059
88872,2021/7/30,12,誘導灯避難口　C級                      ,台　,1,15425,15425,7/5～7/30          ,1059
88872,2021/7/30,13,工事費                                 ,式　,1,10000,10000,〃                 ,1059
88872,2021/7/30,14,消耗品雑材費                           ,式　,1,500,500,〃                 ,1059
88872,2021/7/30,15,                                       ,　　,     ,        ,         ,                   ,1059
88872,2021/7/30,16,消防届出作成立会試験費                 ,式　,1,80000,80000,7/5～7/30          ,1059
88872,2021/7/30,17,諸経費                                 ,式　,1,22475,22475,〃                 ,1059
88851,2021/7/29,1,ライオンズマンション三木町             ,　　,     ,        ,         ,                   ,15
88851,2021/7/29,2,連結送水管ホー耐圧試験                 ,式　,1,10000,10000,7月29日,15
88864,2021/7/28,1,123塩屋店                              ,　　,     ,        ,         ,                   ,751
88864,2021/7/28,2,消防設備保守点検後不備改修工事         ,式　,1,430000,430000,7月28日,751
88853,2021/7/27,1,りんくうプレミアムアウトレット         ,　　,     ,        ,         ,                   ,15
88853,2021/7/27,2,P2　火災信号線及び放送線迂回によるテスト,式　,1,30000,30000,7月27日,15
88866,2021/7/26,1,納品                                   ,　　,     ,        ,         ,                   ,751
88866,2021/7/26,2,123緑橋店分                            ,　　,     ,        ,         ,                   ,751
88866,2021/7/26,3,泡消火設備手動起動装置　表示板縦型     ,枚　,1,2000,2000,7月13日,751
88866,2021/7/26,4,                                       ,　　,     ,        ,         ,                   ,751
88866,2021/7/26,5,CM-2330AT　天埋スピーカー3W　ATT付     ,台　,1,4030,4030,7月26日,751
88866,2021/7/26,6,CP-233A　スピーカーパネル              ,枚　,5,1690,8450,〃                 ,751
88866,2021/7/26,7,E-98P　電源カットリレー　TOA           ,個　,1,11000,11000,〃                 ,751
88866,2021/7/26,8,DZB273W　メタルモール用BOX             ,個　,1,1500,1500,〃                 ,751
88855,2021/7/26,1,旧四箇郷保育所活用事業施設改修工事     ,　　,     ,        ,         ,                   ,1094
88855,2021/7/26,2,消防設備工事                           ,式　,1,1000000,1000000,7/26消検           ,1094
88855,2021/7/26,3,追加工事                               ,式　,1,50000,50000,〃                 ,1094
88845,2021/7/25,1,楠見第3シルバーホームすずらん新築工事  ,　　,     ,        ,         ,                   ,66
88845,2021/7/25,2,契約金￥69000000000の内出来高請求      ,式　,1,5000000,5000000,                   ,66
88835,2021/7/25,1,図面作成費                             ,式　,1,250000,250000,                   ,505
88835,2021/7/25,2,現場応援費                             ,式　,1,300000,300000,                   ,505
88852,2021/7/24,1,イオンモール日根野店                   ,　　,     ,        ,         ,                   ,15
88852,2021/7/24,2,三井住友銀行退店に伴うSP工事(水抜き･復旧,式　,1,183600,183600,6月30日,15
88852,2021/7/24,3,                                       ,　　,     ,        ,         ,                   ,15
88852,2021/7/24,4,消防設備不備改修工事                   ,式　,1,649800,649800,7月24日,15
88819,2021/7/20,1,三菱電機冷熱応用システム㈱ 矢田工場    ,　　,     ,        ,         ,                   ,38
88819,2021/7/20,2,消防設備保守点検（機器点検）           ,式　,1,45000,45000,6月15日,38
88804,2021/7/20,1,消防設備保守点検                       ,　　,     ,        ,         ,                   ,45
88804,2021/7/20,2,Lei knot Wakayama（総合点検）          ,式　,1,170000,170000,2月20日,45
88804,2021/7/20,3,イル・ニード（総合点検）               ,式　,1,33600,33600,4月24日,45
88804,2021/7/20,4,ル・シェール上兵庫（総合点検）         ,式　,1,4800,4800,〃                 ,45
88804,2021/7/20,5,フォレストボックス1（総合点検）        ,式　,1,25600,25600,5月14日,45
88804,2021/7/20,6,セゾン津秦（総合点検）                 ,式　,1,6600,6600,6月2日,45
88804,2021/7/20,7,サンハイツⅠ（総合点検）               ,式　,1,6400,6400,〃                 ,45
88804,2021/7/20,8,コスモスハイツ秋月（機器点検）         ,式　,1,17500,17500,7月13日,45
88830,2021/7/20,1,エクロールプラザ　電球交換             ,　　,     ,        ,         ,                   ,48
88830,2021/7/20,2,7月20日,　　,     ,        ,         ,                   ,48
88830,2021/7/20,3,６階　ＥＶ上　ハロゲン球               ,個　,2,1600,3200,                   ,48
88830,2021/7/20,4,取替費                                 ,式　,1,2000,2000,                   ,48
88810,2021/7/20,1,日鉄スチール                           ,　　,     ,        ,         ,                   ,60
88810,2021/7/20,2,壁掛3馬力改修工事及びガス回収破壊処理  ,式　,1,100000,100000,                   ,60
88878,2021/7/20,1,消防設備保守点検                       ,　　,     ,        ,         ,                   ,378
88878,2021/7/20,2,シャーメゾンオーキッド                 ,式　,1,770,770,                   ,378
88878,2021/7/20,3,メゾンクレール                         ,式　,1,495,495,                   ,378
88878,2021/7/20,4,フォーレスロ―カット                   ,式　,1,1320,1320,                   ,378
88878,2021/7/20,5,シャーメゾン府中                       ,式　,1,495,495,                   ,378
88878,2021/7/20,6,ヴィオス神前                           ,式　,1,495,495,                   ,378
88878,2021/7/20,7,ヴィオトープ                           ,式　,1,770,770,                   ,378
88878,2021/7/20,8,ジュリアード松江                       ,式　,1,770,770,                   ,378
88878,2021/7/20,9,シャーメゾンうの                       ,式　,1,495,495,                   ,378
88878,2021/7/20,10,シャーメゾン広川                       ,式　,1,495,495,                   ,378
88878,2021/7/20,11,メゾン・ルテシィアⅡ                   ,式　,1,495,495,                   ,378
88878,2021/7/20,12,シャーメゾン岩出                       ,式　,1,704,704,                   ,378
88878,2021/7/20,13,シャーメゾン黒江                       ,式　,1,495,495,                   ,378
88878,2021/7/20,14,シャーメゾン野田                       ,式　,1,737,737,                   ,378
88878,2021/7/20,15,フロントパディーⅡ                     ,式　,1,737,737,                   ,378
88878,2021/7/20,16,シャーメゾン名高                       ,式　,1,2068,2068,                   ,378
88878,2021/7/20,17,シャーメゾン尾崎                       ,式　,1,1485,1485,                   ,378
88878,2021/7/20,18,シャーメゾン有田                       ,式　,1,825,825,                   ,378
88878,2021/7/20,19,シャーメゾン中島                       ,式　,1,770,770,                   ,378
88878,2021/7/20,20,グリーンルーフ                         ,式　,1,660,660,                   ,378
88878,2021/7/20,21,グリーンルーフ                         ,式　,1,660,660,                   ,378
88878,2021/7/20,22,シャーメゾン砂山南                     ,式　,1,5907,5907,                   ,378
88878,2021/7/20,23,べレオＫ                               ,式　,1,2068,2068,                   ,378
88878,2021/7/20,24,べレオ太田                             ,式　,1,2068,2068,                   ,378
88878,2021/7/20,25,シャーメゾンｂｒｉｌｌｉａｎｔ         ,式　,1,770,770,                   ,378
88878,2021/7/20,26,べレオ新通                             ,式　,1,2068,2068,                   ,378
88878,2021/7/20,27,アメニティ太田                         ,式　,1,770,770,                   ,378
88878,2021/7/20,28,べレオ堀止西                           ,式　,1,2068,2068,                   ,378
88878,2021/7/20,29,ヴィレッジ三年坂                       ,式　,1,4136,4136,                   ,378
88878,2021/7/20,30,ベレオ西浜ハーモニーガーデン           ,式　,1,3102,3102,                   ,378
88878,2021/7/20,31,ディアス妙寺                           ,式　,1,693,693,                   ,378
88878,2021/7/20,32,グリーンルーフ妙寺                     ,式　,1,990,990,                   ,378
88878,2021/7/20,33,ベレオ園部                             ,式　,1,3102,3102,                   ,378
88878,2021/7/20,34,ガーデンハイツⅡ                       ,式　,1,770,770,                   ,378
88878,2021/7/20,35,コラール堀止                           ,式　,1,770,770,                   ,378
88878,2021/7/20,36,シャーメゾン葵                         ,式　,1,495,495,                   ,378
88878,2021/7/20,37,ベルデ堀口                             ,式　,1,2068,2068,                   ,378
88878,2021/7/20,38,シャーメゾンＷＩＬＬ                   ,式　,1,770,770,                   ,378
88878,2021/7/20,39,ＳｈａＭａｉｓｏｎ　ＮＡ               ,式　,1,770,770,                   ,378
88878,2021/7/20,40,ベレオＢｒｉｌｌｉａｎｔ               ,式　,1,1650,1650,                   ,378
88878,2021/7/20,41,ベレオ紀三井寺                         ,式　,1,1100,1100,                   ,378
88878,2021/7/20,42,ベレオけやき                           ,式　,1,4136,4136,                   ,378
88878,2021/7/20,43,シャーメゾン松江北                     ,式　,1,495,495,                   ,378
88878,2021/7/20,44,ベレオコスモ                           ,式　,1,1650,1650,                   ,378
88878,2021/7/20,45,シャーメゾンＬａＬａ                   ,式　,1,770,770,                   ,378
88878,2021/7/20,46,ベレオ小堀                             ,式　,1,4136,4136,                   ,378
88878,2021/7/20,47,ベレオ寺町通り                         ,式　,1,3102,3102,                   ,378
88878,2021/7/20,48,メゾンド・ベレオ                       ,式　,1,1650,1650,                   ,378
88878,2021/7/20,49,シャーメゾン宝亀                       ,式　,1,3454,3454,                   ,378
88878,2021/7/20,50,ベレオ小野町                           ,式　,1,2068,2068,                   ,378
88878,2021/7/20,51,シャーメゾン彩花                       ,式　,1,990,990,                   ,378
88878,2021/7/20,52,ベレオ広瀬                             ,式　,1,5907,5907,                   ,378
88878,2021/7/20,53,Ｔｏｕｒｎｅｓｏｌ                     ,式　,1,4136,4136,                   ,378
88878,2021/7/20,54,Ｍａｉｓｏｎ　ｄｅ　Ａｌｌｉｅ         ,式　,1,495,495,                   ,378
88878,2021/7/20,55,ディアス松野                           ,式　,1,1045,1045,                   ,378
88878,2021/7/20,56,プロヌーブ今福                         ,式　,1,990,990,                   ,378
88878,2021/7/20,57,ベレオ黒田ＳＯＵＴＨ                   ,式　,1,990,990,                   ,378
88878,2021/7/20,58,Ｆｅｌｉｃａ紀三井寺                   ,式　,1,770,770,                   ,378
88878,2021/7/20,59,ＢＥＲＥＯ　ＷＡＫＡＹＡＭＡ           ,式　,1,1595,1595,                   ,378
88878,2021/7/20,60,シャーメゾン茶屋ノ丁                   ,式　,1,495,495,                   ,378
88878,2021/7/20,61,ベレオくすのき                         ,式　,1,4136,4136,                   ,378
88878,2021/7/20,62,ＢＥＲＥＯ　Ｒｉａｎ                   ,式　,1,3102,3102,                   ,378
88878,2021/7/20,63,フレグランス船所                       ,式　,1,1166,1166,                   ,378
88878,2021/7/20,64,フレグランス船所Ⅱ                     ,式　,1,1320,1320,                   ,378
88878,2021/7/20,65,メゾンドソレイユ                       ,式　,1,245,245,                   ,378
88878,2021/7/20,66,シャーメゾンガーデンズ紀三井寺         ,式　,1,770,770,                   ,378
88878,2021/7/20,67,シャーメゾン幡川                       ,式　,1,990,990,                   ,378
88878,2021/7/20,68,ロイヤルヒルズ三番丁                   ,式　,1,1650,1650,                   ,378
88878,2021/7/20,69,シャーメゾン秋月の杜                   ,式　,1,770,770,                   ,378
88878,2021/7/20,70,ブランシェ堀止                         ,式　,1,495,495,                   ,378
88878,2021/7/20,71,ベレオクシモト                         ,式　,1,4092,4092,                   ,378
88878,2021/7/20,72,ベレオグルース西紺屋                   ,式　,1,1595,1595,                   ,378
88878,2021/7/20,73,プロヌーブ下津野                       ,式　,1,990,990,                   ,378
88878,2021/7/20,74,リヴェール　ヒデ                       ,式　,1,770,770,                   ,378
88878,2021/7/20,75,シャーメゾンＭＩＳＡ                   ,式　,1,660,660,                   ,378
88878,2021/7/20,76,ディアス松島                           ,式　,1,517,517,                   ,378
88878,2021/7/20,77,Ｂｅｒｅｏ　宙                         ,式　,1,1518,1518,                   ,378
88878,2021/7/20,78,ベレオ金龍寺丁                         ,式　,1,1650,1650,                   ,378
88878,2021/7/20,79,ベレオ宮北                             ,式　,1,1320,1320,                   ,378
88878,2021/7/20,80,フレグランス山崎                       ,式　,1,1166,1166,                   ,378
88878,2021/7/20,81,タウニィ酒井                           ,式　,1,693,693,                   ,378
88878,2021/7/20,82,タウニィ寿里                           ,式　,1,1320,1320,                   ,378
88878,2021/7/20,83,フォーブル木ノ本                       ,式　,1,1166,1166,                   ,378
88878,2021/7/20,84,ラベニュー城山                         ,式　,1,770,770,                   ,378
88878,2021/7/20,85,フレグランス吹上                       ,式　,1,495,495,                   ,378
88878,2021/7/20,86,ラベニュー岩橋                         ,式　,1,1166,1166,                   ,378
88878,2021/7/20,87,タウニィ山村                           ,式　,1,770,770,                   ,378
88878,2021/7/20,88,ラベニュー谷口                         ,式　,1,1320,1320,                   ,378
88878,2021/7/20,89,フレグランス畑屋敷                     ,式　,1,495,495,                   ,378
88878,2021/7/20,90,フォーブル苗代                         ,式　,1,693,693,                   ,378
88878,2021/7/20,91,フォーブル若葉                         ,式　,1,770,770,                   ,378
88878,2021/7/20,92,フォーブル松見                         ,式　,1,1320,1320,                   ,378
88878,2021/7/20,93,ラベニューコスモ                       ,式　,1,770,770,                   ,378
88878,2021/7/20,94,タウニィ紀ノ川                         ,式　,1,693,693,                   ,378
88878,2021/7/20,95,タウニィ料理松                         ,式　,1,1122,1122,                   ,378
88878,2021/7/20,96,タウニィ清水                           ,式　,1,770,770,                   ,378
88878,2021/7/20,97,タウニィ浜代                           ,式　,1,968,968,                   ,378
88878,2021/7/20,98,タウニィ浜代２                         ,式　,1,693,693,                   ,378
88878,2021/7/20,99,フォーブルさち                         ,式　,1,1397,1397,                   ,378
88878,2021/7/20,100,タウニィ美園                           ,式　,1,693,693,                   ,378
88878,2021/7/20,101,フレグランス松江                       ,式　,1,495,495,                   ,378
88878,2021/7/20,102,セキワガーデンハウス春日               ,式　,1,968,968,                   ,378
88878,2021/7/20,103,ラベニュー根来                         ,式　,1,693,693,                   ,378
88878,2021/7/20,104,シローズフレグランス                   ,式　,1,770,770,                   ,378
88878,2021/7/20,105,ドミールクルス                         ,式　,1,1320,1320,                   ,378
88878,2021/7/20,106,グリーンビレッジ２１                   ,式　,1,2145,2145,                   ,378
88878,2021/7/20,107,サニーハイツひまわり                   ,式　,1,1320,1320,                   ,378
88878,2021/7/20,108,パールハイツ有田                       ,式　,1,968,968,                   ,378
88878,2021/7/20,109,フレグランス小林                       ,式　,1,495,495,                   ,378
88878,2021/7/20,110,フレグランス延時                       ,式　,1,495,495,                   ,378
88878,2021/7/20,111,フレグランス畑毛                       ,式　,1,1320,1320,                   ,378
88878,2021/7/20,112,フレグランス藤井                       ,式　,1,770,770,                   ,378
88878,2021/7/20,113,フレグランス森澤                       ,式　,1,1320,1320,                   ,378
88878,2021/7/20,114,フレグランス中松江                     ,式　,1,693,693,                   ,378
88878,2021/7/20,115,ガーデンハイツ箕島                     ,式　,1,693,693,                   ,378
88878,2021/7/20,116,アドザックス吉田                       ,式　,1,495,495,                   ,378
88878,2021/7/20,117,石津ハイツ                             ,式　,1,1045,1045,                   ,378
88878,2021/7/20,118,フォーブル石野                         ,式　,1,770,770,                   ,378
88878,2021/7/20,119,フレグランス翠                         ,式　,1,2354,2354,                   ,378
88878,2021/7/20,120,アドザックス吉田Ｂ棟                   ,式　,1,495,495,                   ,378
88878,2021/7/20,121,マリポーサ前田                         ,式　,1,495,495,                   ,378
88878,2021/7/20,122,フレグランス巴                         ,式　,1,1485,1485,                   ,378
88878,2021/7/20,123,フレグランス堀止                       ,式　,1,495,495,                   ,378
88878,2021/7/20,124,フレグランス六十谷                     ,式　,1,770,770,                   ,378
88878,2021/7/20,125,フレグランス木ノ本                     ,式　,1,495,495,                   ,378
88878,2021/7/20,126,フレグランス今吉                       ,式　,1,1166,1166,                   ,378
88878,2021/7/20,127,フレグランス矢野                       ,式　,1,1045,1045,                   ,378
88878,2021/7/20,128,フレグランス平田                       ,式　,1,495,495,                   ,378
88878,2021/7/20,129,フレグランス築港                       ,式　,1,495,495,                   ,378
88878,2021/7/20,130,フレグランス松ヶ丘                     ,式　,1,495,495,                   ,378
88878,2021/7/20,131,フレグランス秋桜                       ,式　,1,495,495,                   ,378
88878,2021/7/20,132,フレグランス雑賀                       ,式　,1,968,968,                   ,378
88878,2021/7/20,133,フレグランスロゼ                       ,式　,1,2134,2134,                   ,378
88878,2021/7/20,134,グラン・ファーム                       ,式　,1,1166,1166,                   ,378
88878,2021/7/20,135,フレグランス栄                         ,式　,1,1045,1045,                   ,378
88878,2021/7/20,136,Ｃｉｔｙ　Ｋｉｎｏｍｏｔｏ             ,式　,1,968,968,                   ,378
88878,2021/7/20,137,フレグランスせせらぎ                   ,式　,1,495,495,                   ,378
88878,2021/7/20,138,フレグランスＡＫＩＨＯ                 ,式　,1,968,968,                   ,378
88878,2021/7/20,139,フレグランスさつき                     ,式　,1,770,770,                   ,378
88878,2021/7/20,140,ガーデンハイツ小二里                   ,式　,1,1320,1320,                   ,378
88878,2021/7/20,141,フレグランス桜ヶ丘                     ,式　,1,495,495,                   ,378
88878,2021/7/20,142,ガーデンハイツ小二里２                 ,式　,1,495,495,                   ,378
88878,2021/7/20,143,ディアスワーブラー                     ,式　,1,770,770,                   ,378
88878,2021/7/20,144,フレグランス藤井Ⅱ                     ,式　,1,693,693,                   ,378
88878,2021/7/20,145,フレグランスフクイ                     ,式　,1,968,968,                   ,378
88878,2021/7/20,146,ディアス栄谷                           ,式　,1,495,495,                   ,378
88878,2021/7/20,147,ディアスかもと                         ,式　,1,968,968,                   ,378
88878,2021/7/20,148,ベルメゾン                             ,式　,1,1320,1320,                   ,378
88878,2021/7/20,149,フレグランス竹中                       ,式　,1,495,495,                   ,378
88878,2021/7/20,150,ディアス松ヶ丘                         ,式　,1,495,495,                   ,378
88878,2021/7/20,151,ディアス北村                           ,式　,1,1122,1122,                   ,378
88878,2021/7/20,152,ディアスミレット                       ,式　,1,1320,1320,                   ,378
88878,2021/7/20,153,ディアスＭ                             ,式　,1,1958,1958,                   ,378
88878,2021/7/20,154,フォーブル松南                         ,式　,1,495,495,                   ,378
88878,2021/7/20,155,ウェストヒルズ                         ,式　,1,1320,1320,                   ,378
88878,2021/7/20,156,フレグランス布施屋                     ,式　,1,770,770,                   ,378
88878,2021/7/20,157,ディアス小雑賀                         ,式　,1,847,847,                   ,378
