"売上№=masterid,dempyounum",売上日=uriagebi,得意先ｺｰﾄﾞ=customerid,得意先名,行№=num,品名=pro,単位=tani,数量=amount,単価=tanka,金額=price,備考=bik,
88448,2021/3/25,505,神樂防災株式会社                                  ,2,図面作成費,式　,1,250000,250000,                    ,
88464,2021/3/25,1010,ＫＳＣ株式会社                                    ,1,KYD神戸支店改修工事分　納品,　　,      ,         ,          ,                    ,
88464,2021/3/25,1010,ＫＳＣ株式会社                                    ,2,MXO131DBRN　ワットメーターボックス　M,台　,1,5000,5000,                    ,
88387,2021/3/24,314,和歌山市長　尾花　正啓                            ,1,中央卸売市場,　　,      ,         ,          ,                    ,
88387,2021/3/24,314,和歌山市長　尾花　正啓                            ,2,青果棟　自動火災報知器修繕,　　,      ,         ,          ,                    ,
88387,2021/3/24,314,和歌山市長　尾花　正啓                            ,3,表示灯（防水型）,個　,9,2500,22500,                    ,
88387,2021/3/24,314,和歌山市長　尾花　正啓                            ,4,配管PF管16φ,ｍ　,150,80,12000,                    ,
88387,2021/3/24,314,和歌山市長　尾花　正啓                            ,5,配線EMHP1.2-2C,ｍ　,180,60,10800,                    ,
88387,2021/3/24,314,和歌山市長　尾花　正啓                            ,6,同上付属品,式　,1,7000,7000,                    ,
88387,2021/3/24,314,和歌山市長　尾花　正啓                            ,7,取替工事費（調査費含む）,式　,1,250000,250000,                    ,
88387,2021/3/24,314,和歌山市長　尾花　正啓                            ,8,消耗品雑材費,式　,1,10000,10000,                    ,
88387,2021/3/24,314,和歌山市長　尾花　正啓                            ,9,高所作業車,式　,1,50000,50000,                    ,
88387,2021/3/24,314,和歌山市長　尾花　正啓                            ,10,諸経費,式　,1,37700,37700,                    ,
88394,2021/3/24,751,岡野消防設備株式会社                              ,1,123浜野店,　　,      ,         ,          ,                    ,
88394,2021/3/24,751,岡野消防設備株式会社                              ,2,泡消火設備漏水修理工事,式　,1,187000,187000,3月24日,
88412,2021/3/23,15,泉州防災株式会社                                  ,1,りんくうエルガビル,　　,      ,         ,          ,                    ,
88412,2021/3/23,15,泉州防災株式会社                                  ,2,消防設備不良箇所改修工事,式　,1,714000,714000,3/23～3/30          ,
88424,2021/3/22,705,株式会社　春台設備                                ,1,寺田萬寿病院,　　,      ,         ,          ,                    ,
88424,2021/3/22,705,株式会社　春台設備                                ,2,蒸気配管工事,式　,1,140000,140000,3/17･3/22           ,
88407,2021/3/20,15,泉州防災株式会社                                  ,1,りんくうプレミアムアウトレット,　　,      ,         ,          ,                    ,
88407,2021/3/20,15,泉州防災株式会社                                  ,2,6220区画　納品,　　,      ,         ,          ,                    ,
88407,2021/3/20,15,泉州防災株式会社                                  ,3,粉末ABC消火器10型（設置台共）,本　,3,5000,15000,3月1日,
88407,2021/3/20,15,泉州防災株式会社                                  ,4,　,　　,      ,         ,          ,                    ,
88407,2021/3/20,15,泉州防災株式会社                                  ,5,2110区画　納品,　　,      ,         ,          ,                    ,
88407,2021/3/20,15,泉州防災株式会社                                  ,6,粉末ABC消火器10型（設置台共）,本　,3,5000,15000,3月20日,
88410,2021/3/20,15,泉州防災株式会社                                  ,1,イオンモールりんくう泉南　納品,　　,      ,         ,          ,                    ,
88410,2021/3/20,15,泉州防災株式会社                                  ,2,感知器終端抵抗器　終端器　ホーチキ用,個　,10,765,7650,3月20日,
88345,2021/3/20,45,株式会社アイワライフネット                        ,1,消防設備保守点検,　　,      ,         ,          ,                    ,
88345,2021/3/20,45,株式会社アイワライフネット                        ,2,グリーンフル浜路（総合点検）,式　,1,25840,25840,R2.5.30,
88345,2021/3/20,45,株式会社アイワライフネット                        ,3,ラ・アンドリーナ（総合点検）,式　,1,23840,23840,R2.12.26,
88345,2021/3/20,45,株式会社アイワライフネット                        ,4,ラフォーレ壱番館（総合点検）,式　,1,23280,23280,2月6日,
88345,2021/3/20,45,株式会社アイワライフネット                        ,5,セレナ中島（総合点検）,式　,1,26640,26640,2月7日,
88345,2021/3/20,45,株式会社アイワライフネット                        ,6,グリーンフル中島（総合点検）,式　,1,25280,25280,2月8日,
88383,2021/3/20,378,積水ハウス不動産関西株式会社                      ,1,消防設備保守点検,　　,      ,         ,          ,                    ,
88383,2021/3/20,378,積水ハウス不動産関西株式会社                      ,2,シャーメゾンオーキッド,式　,1,770,770,                    ,
88383,2021/3/20,378,積水ハウス不動産関西株式会社                      ,3,メゾンクレール,式　,1,495,495,                    ,
88383,2021/3/20,378,積水ハウス不動産関西株式会社                      ,4,フォーレスロ―カット,式　,1,1320,1320,                    ,
88383,2021/3/20,378,積水ハウス不動産関西株式会社                      ,5,シャーメゾン府中,式　,1,495,495,                    ,
88383,2021/3/20,378,積水ハウス不動産関西株式会社                      ,6,ヴィオス神前,式　,1,495,495,                    ,
88383,2021/3/20,378,積水ハウス不動産関西株式会社                      ,7,ヴィオトープ,式　,1,770,770,                    ,
88383,2021/3/20,378,積水ハウス不動産関西株式会社                      ,8,ジュリアード松江,式　,1,770,770,                    ,
88383,2021/3/20,378,積水ハウス不動産関西株式会社                      ,9,シャーメゾンうの,式　,1,495,495,                    ,
88383,2021/3/20,378,積水ハウス不動産関西株式会社                      ,10,シャーメゾン広川,式　,1,495,495,                    ,
88383,2021/3/20,378,積水ハウス不動産関西株式会社                      ,11,メゾン・ルテシィアⅡ,式　,1,495,495,                    ,
88383,2021/3/20,378,積水ハウス不動産関西株式会社                      ,12,シャーメゾン岩出,式　,1,704,704,                    ,
88383,2021/3/20,378,積水ハウス不動産関西株式会社                      ,13,シャーメゾン黒江,式　,1,495,495,                    ,
88383,2021/3/20,378,積水ハウス不動産関西株式会社                      ,14,シャーメゾン野田,式　,1,737,737,                    ,
88383,2021/3/20,378,積水ハウス不動産関西株式会社                      ,15,フロントパディーⅡ,式　,1,737,737,                    ,
88383,2021/3/20,378,積水ハウス不動産関西株式会社                      ,16,シャーメゾン名高,式　,1,2068,2068,                    ,
